art,t,bpm,s
u's,No brand girls,197,90562
Iguchi Yuka,Platinum Disco,117,55689
Raujika,Land of Grace,103,73444
kemu,Reincarnation,185,1949852
maras k,Play Time!!,185,345325
Touyama Nao,Magical Mah-jongg World,160,74687
K2,Karaburi Sadistic,171,15156
yuiko,GLORIOUS_DAYS(Short),167,396495
Maon Kurosaki,Harmonized Clover,92,339907
Electric Six,Gay Bar,172,9550
Liliana Sisters,Life-Ru is LOVE-Ru!!,180,96330
Ryokuoushoku Shakai,S.T.U.D,180,1750641
FOLiACETATE,Heterochromia Iridis,223,106443
AKI AKANE,Hanabira (Irus Brutalcore Breaks Remix),210,332280
ClariS,PRIMALove -TV Mix-,145,724759
emon,shake it!,130,215819
Sandio,i dream colors,185,2195463
Saratoga(CV: Sumire Uesaka),Souzetsu Gekkou,180,722797
ChouCho,Yasashisa no Riyuu (TV Size),177,850453
DJ Sharpnel,20031023,179.1,11580
"Takakura Yuka, Hirose Yuuki, Kayano Ai, Ogura Yui, Harada Sayaka, Kito Akari",Happy*Material,163,679940
Hanatan,Gingaroku,98,1622611
Denkishiki Karen Ongaku Shuudan,I pray,180,755676
sana,cantabile,151,451910
Zedd,Clarity (feat. Foxes),128,1189069
Ogura Yui,Songs Compilation,170,1812298
S3RL feat. Mixie Moon,FriendZoned,175,1861827
Imy,Sylphia,200,282291
Amaranthe,Hunger,200,1028446
FELT,a wonderful moon,190,190847
GOHOBI,Blouse (TV Size),178,2235815
M2U,Marigold (feat. Guriri),160,595496
JVKE,golden hour,189,1882952
KOTOKO,"Sakura Mau Saka o, Kimi to Aruku",164,163434
Yooh,LegenD.,205,396839
Kurenainagi Tabibito,Beloved Tomboyish Girl,140,96835
Nakanoke no Itsutsugo,Gotoubun no Katachi (TV Size),158,1521256
"Elze, Linze, Yae, Yumina, Sushie, Leen",Junjou Emotional,148,638878
ZAQ,OVERDRIVER (TV-size),140,207295
DJ TOTTO feat. Sunao Yoshikawa,Arousing,179,281801
TUYU,Anoyo-iki no Bus ni Notte Saraba.,240,1066557
HO-KAGO TEA TIME,Kira Kira Days,200,1366172
Da-iCE,Break out (TV Size),185,1672200
Yuki Yomichi,DIVINE TUNING,188,1902990
USAO,Blows Up Everything,215,1029446
ClariS,Connect (TV Size),175,1233402
Kano,"Sayounara, Hanadorobou-san",170,1894841
NateWantsToBattle,Ashes,155,805455
AKINO with bless4,Yuki no Youni,184,2056653
Gunjo no sekai,reiwa anthem (Cut Ver.),185,1463037
Nitta Emi. Uchida Aya. Mimori Suzuko,Future style (Movie Edit),175,469488
Kawano Marina,Sono Koe wo Oboeteru (TV Size),170,118973
abingdon boys school,HOWLING (TV Size),166,1876591
R3 Music Box,Road of Resistance,148,562458
Amatsuki,Astro Lost (Cut Ver.),185,1521290
"Fujita Akane, Miyamoto Yume, Ozawa Ari",Precious You* (TV Size),130,783955
Piko,Koto no Ha (TV Size),145,93568
LukHash,GLITCH,175,785774
Hanekawa Tsubasa (CV: Horie Yui),sugar sweet nightmare (TV Size),166,1955177
MONORAL,kiri,91.35,333196
ALI,Wild Side,134,1672763
bradbreeck,Fury Heart,109,437904
Ne Obliviscaris,Painters of the Tempest (Part II): Triptych Lux,215,724192
DiGiTAL WiNG,Paranoia (DiGiTAL WiNG 2018 LIVE MIX),150,2072915
Diao Ye Zong feat. Meramipop,Eiya 'Imperishable Challengers',190,1291267
Hana,Start Line,190,1692929
Omoi,Teo,185,1274098
Ian Taylor,Fanfare,120,768631
Imperial Circus Dead Decadence,Uta,205,1112662
Sasaki Sayaka,"Sakura, Reincarnation",181,1462119
Primary,in the Garden,224,629217
glass beach,cold weather,155,1280001
THE ORAL CIGARETTES,BLACK MEMORY,182,975284
Halogen,U Got That (Camellia's Neurofunk Bootleg),174,934144
Aoyama Mio starring Yuuki Aoi,Platinum,164,181361
Intervals,A Voice Within,230,569096
SOUND HOLIC feat. Nana Takahashi,NONSTOP TOUHOU EUROBEAT MEDLEY,165,1225907
Nayugorou,White Promise,180,1769873
DJ NAGAI feat. a*ru,Benibotan,181,548679
Shinomiya Ginka (CV: Hasegawa Ikumi),Star Trail,180,2087813
EGOIST,The Everlasting Guilty Crown,172,218766
YURiKA,MIND CONDUCTOR (TV Size),180,752480
Bon Jovi,It's My Life,120,41556
Caramelos de Cianuro,"Rubia Sol, Morena Luna",141,171862
Rina Satou,Colorful Days (TV Size),168,6228
Zhou Shen,Rubia,136,1362713
Acid Black Cherry,Shoujo no Inori III,187,1325921
Marie,Shiroki Yami no Arabesque,100,746689
Rita,Princess Blood,192,94112
AISHA,The Disaster of Passion,180,1497801
Myu,Panorama chime (Short Ver.),175,80200
Silver Forest,EXTRA BITTER,128,13953
Kawano Marina,Sono Koe o Oboeteru (TV Size),170,703034
DVRST,SHE IS HYPERACTIVE,174,1969003
Suara,Fuantei na Kamisama (TV Size),156,1635283
QUARTET*RE-BOOT!,FUN FUN RE-BOOT (Game Ver.),180,2233543
R3 Music Box,Manten,146,866275
Sasuke Haraguchi feat. Kasane Teto,HITO Mania,150,2070848
2pm,Tetris,140,633
TJ.Hangneil,Kamui,210,39017
YUIKAORI,Ring Ring Rainbow!! (TV size),181,463905
Yamamoto Mineko,Rinne,179,1913687
Hatsuki Yura,happy day,178,66411
Suara,Kimi ga Tame,80,387232
DOMINO,U Can Do It! (TV Size),108,21197
MAN WITH A MISSION,Merry-Go-Round (TV Size),120,1503987
zts,miragecoordinator,150,652668
CHiCO with HoneyWorks,Kimi ga Sora Koso Kanashikere,198,940746
Halozy,Koi no Serenade,128,408302
MAZARE,Mazare Party,200,667868
Cash Cash,Overtime,114,472143
Otokaze,Kiro -KaeriMichi-,102,928223
the peggies,Ashiato (TV Size),164,1422944
Iguchi Yuka,HELLO to DREAM (TV Size),160,1097615
Pizuya's Cell feat. Meramipop,Losing your season,184,695601
Maeshima Mayu,Long shot (TV Size),135,1345977
"Riko (CV: Tomita Miyu), Regu (CV: Mariya Ise)",Deep in Abyss,135,639700
Ami Sakaguchi,URL (TV Size),128,2046570
toby fox,An Ending,100,392854
zts,the executioner,134,342360
M2U,Wicked Fate,140,1997821
Shimotsuki Haruka,Star map,190,1785097
Nor,RE Aoharu,180,1935191
Wagakki Band,Valkyrie-Ikusa Otome-,195,452310
VINXIS,Greetings,200,288974
Gavin G,Culture,175,219056
kemu,Haiboku no Shounen,185,67554
Silver Forest,Sakase * Sakase,200,44935
IA,Six Trillion Years and Overnight Story,186,51245
Kageyama Hironobu,GET THE WORLD,173.94,308733
Idol College,Ichizu Recipe (TV Size),170,823918
Agnete Kjolsrud,Get Jinxed,180,1704573
Uchikubi Gokumon Doukoukai,Futon no Naka kara Detaku Nai,174.2,729373
ave;new feat. Sakura Saori,Graceful Anomaly,164,91088
wakaG,Yozora ni Saita Hana,180,1470434
*namirin,Amatsu Kitsune,190,688824
Ichigaya Arisa (CV: Itou Ayasa),Su-Suki Nanka Janai!,166,1674993
Ownage Pranks,Buk Lau's Love Song,121,347433
BUMP OF CHICKEN,Karma,194,1807751
Mrs. GREEN APPLE,Tsukimashitewa,190,2135322
fhana,Tenshi-tachi no Uta (TV Size),137,2207642
nenpulse,Gateau au chocolat,180,936685
Saki: Achiga-hen Cast,SquarePanicSerenade,179,403897
Kano,Sentimental na Aiboshin,150,1097489
Sasaki Shiori,Indigo Star (short ver.),136,889308
HUMBREADERS,Hikari (TV Size),181,1883457
Tsuzuri,NAME (TV Size),183,2035747
Ogura Yui,Platinum Passport,172,695018
Liella!,START!! True dreams (TV Size),178,1882189
Ceui,Have a live day,184,1732413
Atarayo,"""Boku wa..."" (TV Size)",180,2152471
Isekai Joucho,Hydrangea,133,1569373
LM.C,BOYS & GIRLS (TV Size),188,15845
ALiCE'S EMOTiON,Sweet Play,172,29136
Mitsukiyo,Gregorius | Symphony,165,2115386
TOSHIO MASUDA,Wakiagaru Toushi,140,166185
Inori Minase,Lucky Clover,177,1785922
Galileo Galilei,Circle Game (TV Size),123,1106790
Yousei Teikoku,Kuusou Mesorogiwi (TV Size),230,38459
Official HIGE DANdism,Cry Baby (TV Size),100,1539801
Igorrr,Pavor Nocturnus,174,57525
Tom Day & Laura Lethlean,Couldn't Be Alone (Single),85,188835
L.E.D.-G + Qrispy Joybox + ARM feat. Nanahira,Dokkin Summer Adventure,180,349561
765 MILLION ALLSTARS,Flyers!!!,172,2101474
Ninomiya Asuka (CV: Aoki Shiki),Kyoumei Sekai no Ontology,190,841338
Scott Brown,Go Berzerk,172,15298
Quinn Karter,Living in a Dream feat. Natalie Major (Feint Remix) (Cut Ver.),174,1448953
LiSA,No More Time Machine -TV ver.-,137,226092
Hoshimachi Suisei,soiree,176,2034879
Aqours,Omoi yo Hitotsu ni Nare,168,1064212
Sota Fujimori,Move That Body -Extended Mix-,196,220220
Ceui,"Ima, Arukidasu Kimi e.",87,422600
Suzuki Konomi,Inochi no Tomoshibi,180,1758678
MK feat. CAMRY + mi-mi,Treasure,180,15291
NICO Touches the Walls,Hologram (TV Size),156.12,2020286
Thaehan,Higitus Figitus,134.68,700977
TOMOSUKE x Jazzin'park,LANA - Kiroku no Kakera (sasakure.UK Framework Remix) -,200,697102
K/DA,"THE BADDEST feat. (G)I-DLE, Bea Miller, Wolftyla",150,1246543
07th Expansion,System0,138,26617
USAO,FREEDOM (Extended Mix),170,749304
Shawn Wasabi,Marble Soda,168,1971143
,Bill Nye the Science Guy,130.82,2825
Cascada,What Hurts The Most (Nightcore Mix),170.42,1268341
DOES,Shura (TV Size),197,23852
Koshimizu Sachiko (CV: Taketatsu Ayana),To my darling...,127,797169
Days N' Daze,Misanthropic Drunken Loner,190,442587
iconoclasm,perditus paradisus,172,22212
Aimer,twoface,183,1351981
Terror & Espa,Loaded Gun,174,1870672
Elley Duhe & Whethan,MONEY ON THE DASH (Sped Up Ver.),150,2017708
Lou Grant,Don't Stop the Music,159.95,34083
PinkPantheress,Attracted To You,114.23,1542006
DJ YOSHITAKA,Evans (Ghost Remix),167,39990
seleP,Segments Blue,145,1406043
Higashi - no - Seizon Penguin,Gensou Propaganda,175,323289
toby fox,Uwa!! So HEATS!!,56.5,1601199
Bo Burnham,Bezos I,115,1597196
Utsu-P,I thought I was an angel,100,1004320
Waterflame,Final Battle,145,358679
Dear Jane,Lost,67.5,818551
Falcom Sound Team jdk feat. Sazaka Megumi,Ashita e no Kiseki -Opening Size-,184,999739
Renegade Masterz,Nasty Girl (Nightcore Mix),173.89,23940
Spica,Make debut! (TV Size),180,2164744
Hata Motohiro,Toumei Datta Sekai (TV Size),168,1198915
HOYO-MiX,Thanks for Your Patronage!,167,1922929
NIVIRO,The Return,128,1049327
Silver Forest,Tsundere Arisu no Yuuutsu,168,24110
Hiroshi Yamaguchi,Oki the Hero,90,42457
"ryo (supercell) feat. mafumafu, gaku",takt (TV Size),181,1598150
KSUKE,Contradiction (feat. Tyler Carter) (TV Size),130,1207988
OxT,HIGHEST (TV Size),180,1942325
Fractal Dreamers,Fragments of You,185,1146874
bradbreeck,Lucky Me Song - Feat. Courtney Fortune,174,496827
Ninomiya Yui,Dark seeks light (TV Size),185,1727027
AngelMaker,A Dark Omen,220,761026
Erio o Kamattechan,os-Uchuujin(Asterisk Makina Remix),175,325301
NIWASHI,Playing with Ruby,180,1306570
Porter Robinson,Divinity (feat. Amy Millan),90,204453
D-51,BRAND NEW WORLD,160,1806511
Mili,Vitamins feat. world's end girlfriend,191,1473909
Eve,Kaikai Kitan (TV Size),185,1308511
Hiroyuki Sawano feat. Mika Kobayashi,Bios,194,43674
Belmont,731,180,1159959
Soyokaze Mirai,Kimi to Watashi no Sentence,174,772053
Yumeko,Ayano no Koufuku Riron,86,350660
miComet,Animal,188,1690091
city girl,wishing on you (feat. ry & tiffi) (Cut Ver.),70,1455209
asmi feat. Chinozo,Dokimeki Diary (TV Size),185,2029081
Kuroha Neko (CV Taneda Risa),Sassou Toujou!Neko-san,156,737129
Ikimono Gakari,Blue Bird (TV Size),151.93,12431
cinema staff,great escape,184,915864
Duca,Answer,183,1768412
VINXIS,Greetings,200,788201
sabi,true DJ MAG top ranker's song Zenpen (katagiri Remix),170,1357624
Shimotsuki Haruka,Hakoniwa Logic,180,221981
Mazare & RUNN,Where Do We Go (Cut Ver.),180,1802942
REDALiCE,Bad Apple!!,170,10353
Himesaka Noa (CV: Kito Akari),Atashi Kawaii Sengen!!!,180,1605689
Kraster,Desire?,152,17780
Kokoro (CV: Hayami Saori),Darling (TV Size),173,1533460
Ryokuoushoku Shakai,Hana ni Natte (TV Size),192,2083205
nano,Exist,188,70257
KMNZ LIZ,Envy Baby,171,1432005
WALKUERE,Namidame Bakuhatsuon,188,709030
Kvi Baba,TOMBI,132,1962959
Linkin Park,What I've Done,120.05,59347
Melanie Martinez,Dollhouse,65,512201
Kajiura Yuki,Sis puella magica!,148,342884
Brymir,Herald of Aegir,196,1836524
Tomatsu Haruka,courage,196,1474960
Hatsune Miku,Marionette no Kairaku,200,43801
ribbon room,mint tears,188,1976200
Harada Hitomi,Kyoumei No True Force,187.5,192725
SQWOZ BAB,SUETA,165,1992876
East Rockerz,Sound Of My Dreams (DJ Splash Remix),145,12998
Diana Vickers,The Boy Who Murdered Love,127,170775
Becky(CV:Saitou Chiwa),Ponytail no Shijuu ~TV Size~,160,184420
YOASOBI,Ano Yume o Nazotte,180,1128515
Spira Spica,Re:RISE (TV Size),166,1054530
Hatsune Miku,Happy Fruit!,192,13387
"Post Malone, Swae Lee",Sunflower,90,1450998
Azis,Sen Trope,85,55129
Skrillex,Bangarang (feat. Sirah) (Cut Ver.),110,42311
Ricky Montgomery,Cabo,145,1556645
nao,Taiyou Paradise,147,242019
Duca,Nekoichi,130,619489
Another Infinity feat. Mayumi Morinaga,COME BACK TO MY HEART (Ryu* Remix),180,63056
Wakeshima Kanon,Foul Play ni Kurari,163,1453535
NICO Touches the Walls,Niwaka Ame ni mo Makezu (TV Size),186,1723066
yuiko,GLORIOUS DAYS,167,557022
Wang Rui,Tao Hua Xiao,160,1087774
Hashimoto Miyuki,The Day Takeoff  (Short Ver.),160,20900
Duca,marry me ?,160,822696
CHERNOBURKV,Bliznetsy (111loggedin Edit) (Cut Ver.),181.68,1974817
BOOM BOOM SATELLITES,LAY YOUR HANDS ON ME -TV MIX-,141,448847
ICHIKO,I'LL BE THERE FOR YOU (TV Size),170,42921
BAND-MAID,RINNE,190,1193063
Owl City,When Can I See You Again?,128,100610
PinkPantheress,Take me home,171.67,1552741
ClariS,CLICK,135,145550
Aoshima Moka (CV: Mimori Suzuko),kibo refrain (TV Size),172,1647600
Megpoid GUMI,Poker Face,184,24782
MODEL,Bir Melek Vardi,140,167221
Ryu*,I'm so Happy,181,768390
Usa,Shining/STREAM,155,67444
Futaba Rio (CV: Tanezaki Atsumi),Fukashigi no Karte (TV Size),96,1083001
Tomoya Ohtani,Aquatic Park Act 1,174.96,26182
ClariS,Luminous -movie MIX-,173,98234
La priere x ShinRa-Bansho,#Yamikawa,193,1979691
Toby Fox,Spamton,95,1607535
Drake Bell,I Found a Way (TV Size),130,46333
Primary,Inai Sekai,250,390619
LiSA,"best day, best way",180,1474076
supercell feat. Gazelle,Melt 3M MIX,85,16027
Hatsune Miku,KOKORO-GAME-BOX,185,17346
Kawada Mami,as x sist ~Amae Beta na Watashi Nari ni~ (Short Ver.),168,2000505
Aimiya Zero,breath of stella,176,1869159
raito,Owarinai Mukai,160,1685301
Iguchi Yuka,Platinum Disco (TV Size),117,45610
mafumafu,Manjushage,140,939484
Shinomiya Ginka (CV: Hasegawa Ikumi),Star Trail,180,2061553
Helblinde,Grief & Malice (Cut Ver.),200,1530096
REDALiCE feat. Usada Pekora & Sakura Miko,Peko Miko Daisensou!!,180,1303143
aivi & surasshu,Stronger Than You (Rebecca Sugar feat. Estelle),98,302305
goreshit,MATZcore,234.08,24388
Kola Kid,timer,180,1089084
Dzeko & Torres,2013 In 10 Minutes,129,513716
Two Steps From Hell,Invincible,180,904134
Kumada Akane,Brand new diary (TV Size),180,1430243
"Morikubo Syoutarou, Kakihara Tetsuya",ONLY YOUR STARS!,186,675185
Liviu Hodor feat. Mona,Sweet Love,128,55117
Tomatsu Haruka,courage,196,224175
supercell,Rock 'n' Roll Nan Desu no,200,27807
Yousei Teikoku,call my name,200,1837052
Nishino Kana,Believe,151,336743
Sasaki Rico,Play the world (TV Size),176,1121997
*namirin,Sakurairo Time Capsule,170,1092335
Uchida Aya,Sign,102,1255939
Jutes,Bad Dream,100,1365310
Trial & Error,"DAI*TAN SENSATION feat. Nanahira, Mii, Aitsuki Nakuru (Short Ver.)",174,976734
Maaya Sakamoto,Waiting for the rain,82.5,378506
lily white,Aki no Anata no Sora Toku,156,1325099
bilbordy,risuyu krov'yu,175,1780595
Syrufit ft. Mei Ayakura,Moonlight Maiden,136,55402
The Living Tombstone,Cats,108,1395063
Tatsuya Kitani,Where Our Blue Is (TV Size),152,2021316
The Pretty Reckless,Heaven Knows,84,222215
Honma Himawari,Seishun Mode! Mou Ikkai!!,177,1109861
Cho Tokimeki Sendenbu,SUKI! ~CHO ver~,165,1961544
ClariS,Ai o Utae,180,1012760
Hoshimachi Suisei,Andromeda,83,1672700
xi,Wish upon Twin Stars,200,352046
LAGOON,Kimi no Matsu Sekai (TV Size),183,289900
Loos,Koi Yomi Zakura (Full Ver.),168,12416
HACHI feat. Hatsune Miku,Suna no Wakusei,190,841634
Feint,Laurence (VIP) (Cut Ver.),174,691328
Coalamode.,Nanairo Symphony (TV Size),155,1256023
Zhong Lanzhu (CV: Homoto Akina),Eutopia (TV Size),128,1733247
"TEA,ginkiha",Luvin'Epoch,170,592259
gi(a)rlish number,Bloom,182,2219955
Ai Nonaka & Eri Kitamura,and I'm home,125,35928
SAKANAMON,Fumeikakuna Seikai,198,1552743
gi(a)rlish number,Bloom,182,520565
YOASOBI,Butai ni Tatte,182,2232747
Tatsuya Kitani,Seija no Koushin,158,1608109
Kanon Wakeshima,Sakura Meikyuu,170,540631
Nhato,Star Trail,148,44630
Kurosaki Maon,Rakuen no Tsubasa,155,221250
Mariko Honda,Zettai Kaichou Sengen (TV Size),174,17005
Train,Drive By,122,68040
"Denzel Curry, Gizzle, Bren Joy",Dynasties & Dystopia,77,1852680
SOUND HOLIC,EXISTENCE,155,2123590
Chitose Haru & Kumagai Eri,Perfect Free,178,456387
Hatsuki Yura,HAMELN,130,43446
Eve,Ambivalent,188,1250977
Kanye West,BLKKK SKKKN HEAD,130,1418400
Sasaki Sayaka,Marine Blue ni Sotte,180,111121
Shiena Nishizawa,FUBUKI,180,262547
DJ Manian,Loco,152,53951
JIN feat. Yasagure Koneko,Mekakushi Code (Cut Ver.),185,1039223
Hanatan,Palette,180,165693
Hanatan,Sasabune,176,646883
UVERworld,CORE PRIDE (TV Size),185,1050996
KARUT,Shooting Athletes,165,1992425
Amamiya Sora,Eden no Tabibito,190,817411
Goku Rakujo-kai,Oato ga Yoroshikutte... yo! (TV Size),189,332231
azusa,Check my soul (TV Size),153,1683093
ISHIDA YOKO,COLORFUL BOX,161,245906
DAOKO x Kenshi Yonezu,Uchiage Hanabi,96,651825
Bit Shifter,Chase Init_,60.25,90826
Kalafina,heavenly blue ~TVsize~,157,369654
TOMOSUKE x Jazzin'park,LANA - Kiroku no Kakera (sasakure.UK Framework Remix) -,200,286025
Nanamori-chu * Goraku-bu,Yuriyurarararayuruyuri Daijiken (TV Size),175,299651
Hotaru Murasaki,Re:TrymenT,190,1937758
PassCode,Catharsis,196,1780807
Okui Masami,Good-bye crisis (Short Ver.),178,25817
Ricchi e Poveri,Sara perche ti amo,120.61,469463
Shiritsu Ebisu Chuugaku,Butterfly Effect,169,953322
AiRI,Towa ni Saku Hana (short ver.),95,522940
"Suzuki Aina, M.A.O, Minase Inori, Nakajima Megumi",The Beautiful Brave (TV Size),190,1400373
Bilibili Douga,Zao Gao Xian Jin Guo,158.6,24152
toby fox,Once Upon a Time,65.5,424562
Yamamoto Mineko,"Falling, The Star Light",178,1803919
TeddyLoid feat. Debra Zeer,D City Rock,134.83,23300
TRakker,Rootus,178,159325
smileY inc.,Hanayuki(TVsize),146,232575
Adachi and Shimamura (CV: Kito Akari and Ito Miku),Kimi ni Aeta Hi (TV Size),129,1308453
MuryokuP,Aspirin,190,132398
Karaage Sisters,1 - 2 - 3 (TV Size),183,1345265
Sayuri,Hana no Tou (TV Size),170,1891706
Da-iCE,DREAMIN' ON (TV Size),170,1231755
Mr.Kitty,After Dark,70,217416
MYTH & ROID,Forever Lost,83,1760782
yves,garden,150,1824205
Nomizu Iori,Black + White (TV Size),192,77691
u's,Angelic Angel (Movie Edit),160,410598
Girls' Generation,I GOT A BOY,140,72194
4minute,HUH,122,17214
Tsukuyomi,Gyakutengeki,172,1975680
"Team ""Hanayamata""",Hana wa Odore ya Irohaniho,160,304979
Matsuda Arisa (CV: Murakawa Rie),Chou Jou Genki Show*Idol ch@ng!,170,957444
Savage Garden,I Want You,106.5,440152
sokoninaru,Mirage,220,1474917
HoneyWorks,Re: Hatsukoi no Ehon feat. Aida Miou (CV: Toyosaki Aki),190,1688656
Brookes Brothers feat. Georgie Allen,New Wave,174,961042
Hoshimachi Suisei,GHOST,182,1726003
culenasm,Hitori Nokorazu Niramitsukete,212,1260377
senya,Akatsuki no Suiheisen ni,181,242360
SOUND HOLIC,Fushigi no Kuni no Christmas,128,683589
IOSYS,Power of Dream,180,8268
ClariS,Connect,175,1250654
Chan Kwong Wing,Wo Zai Na Yi Jiao Luo Huan Guo Shang Feng,130,120204
Bangbros,Yeah Yeah Yeah! (Nightcore Mix),162.15,28147
milet,Fly High,97,1686549
Itou Shizuka,"Honjitsu, Mankai Watashi iro! (TV Size)",173,15381
nao,Lunatic Delusion,170,28601
Serani Poji,Sugar Boo,180,1766654
SawanoHiroyuki[nZk]:mizuki,e of s (game edit),80,541856
Kanye West,Runaway feat. Pusha T (Cut Ver.),87,1701358
METALITY UNITED,Saint Catastrophe,200,2114540
Miyazawa Yuana,Dreht sich!,148,51705
Naiara Azevedo Ft. Maiara e Maraisa,50 Reais,139,652903
Rib,Young disease outburst Boy,190,404283
SYNC.ART'S feat. Misato,The Deep Flame of Autumn Sky,168,16642
Aoi Eir,Yurari,178,1888926
Billy Joel,Piano Man,175,1081449
Uchida Maaya,Gimme! Revolution,180,524464
Cash Cash,Reach for the Stars (Intro Ver.),203,23368
Mifune Shioriko (CV: Koizumi Moeka),Koufukuron,134,2063332
Aqua Timez,Alones,95.17,7634
senya,"Sasayaku, Kiekaketa Kouishou ga.",160,1053613
Ohara Rinne (CV: Tamura Yukari),Lasting Memories (TV Size),78,909473
yanaginagi,Owari no Sekai kara,148,270999
cillia,"Fairytale,",194,1000669
Tsuki no Tempest,The One and Only,177,1774018
AliA,AliVe,170,1034823
Hanazawa Kana,Renai Circulation (Short Ver.),120,27509
ATSUMI UEDA,Harmonia,177,1028168
Luschka,Kami no Kotoba,110,817667
Iguchi Yuka,RE-ILLUSION (TV Size),193,1945633
Ceui,First Love Syndrome,175,906237
Willow Smith,Whip My Hair,163,1626881
Ami,"The World: Stars, Skies, and Paths",176,712391
sana,Kotoba no Iranai Yakusoku,170,634179
keshi,2 soon,87,1954877
"Tyler, The Creator",DOGTOOTH,77.5,2005286
USAO,BroGamer,207,635636
Denkishiki Karen Ongaku Shuudan,Elder Things,170,1877186
Rakshan,Electronic Bitch (Nightcore Mix),170.35,78889
455-38B,G e n g a o z o - f o o n,153,869649
Triodust,M.R.,200,580867
t+pazolite,seedy try,210,1793951
Mi Bai,Yomei Mikka Shoujo,63.33,1139820
Memme,Cherry Blossom,170,442581
Goku Rakujokai,Oato ga Yoroshikutte... Yo! (TV Size),189,54707
Hatsune Miku,Dou Iu Koto Nano!?,175,36198
Rameses B,Against the Grain (feat. Veela),174,2096997
THREE LIGHTS DOWN KINGS,NEVER SAY NEVER,194,664307
MIMI feat. SEKAI,Escape,184,1823012
(G)I-DLE,HANN (Alone),105,832324
Sawai Miku,"Gomen ne, Iiko ja Irarenai. (Anime ver.)",155,724844
Kicks N Licks Feat. Nicole Millar,Own The Night (MitiS DnB Remix),172,149045
Monster Siren Records,Fading Sky,178,1770637
Naoki Miki (CV: Takahashi Rie),Friend Shitai,148,1022850
Luck Life,Namae o Yobu yo (TV Size),82,2197173
"Tamura Yukari, Kanai Mika & Horie Yui",Happy! Lucky! Dochy!,117.5,32116
Larval Stage Planning,Stargazer,136,309113
ChouCho,Songs Compilation,167,179756
NANA,Pettanko LOVE (Short Ver.),180,44761
ChouCho,Kuusou Triangle,135,743714
Boyinaband,We Wish You A Merry Christmas (Boyinaband Liquid DnB Remix),175,242914
Neru feat. Kagamine Rin,Tokyo Teddy Bear,204,1165741
Takigawa Alisa,Season,159,1029865
Tomofumi Tanizawa,Kimi ni Todoke (TV Size),126,2210109
EGOIST,Namae no Nai Kaibutsu (TV Size),180,1031560
SawanoHiroyuki[nZk]:Yuuri,Till I,77,1606345
KiraraQuintet,Torchlight ~Yume no Akari~,175,1270325
Xi-on,Emotional Skyscraper ~ Cosmic Mind,168,11940
Yui Horie,Silky Heart (TV Size),135,24135
xi,Parousia,158,108470
Yoshihisa Hirano and Hideki Taniuchi,L's Theme,135,5777
BTS,DOPE,154,497583
nora2r,B.B.K.K.B.K.K.,170,1372554
Poppin'Party,Blue Bird,152,1061601
HanStone,Starlight of Ancient Times,138,20295
ClariS,irony (TV Size),134,1020475
baker,Kimi ga Kimi ga -vocanico remix-,173,682595
Foreground Eclipse,From Under Cover (Caught Up In A Love Song),200,150739
ClariS,ALIVE,180,1894823
mafumafu,Rinne Tensei,196,1083811
VINXIS,Greetings,200,800526
TUYU,Kuraberarekko (TUYU Remix),194,1182767
Wiklund,Whip the Blip,170,8299
EastNewSound,Lucid Dream,170,20826
Inori Minase,Yume no Tsubomi,188,608258
Akiyama Uni,Odoru Mizushibuki,138,153887
EGOIST,The Everlasting Guilty Crown (TV Size),172,44416
Hanatan,Tengaku,232,181142
Linked Horizon,Jiyuu no Tsubasa (TV Size),157.5,117170
Natsume Itsuki,AI to CodeQ no Hate,171,1515036
Owl City,When Can I See You Again?,128,107276
Utada Hikaru,Hikari,88,54965
Miyuki Hashimoto,Mugen Mirai,161,756685
Inori Minase,Koiseyo Otome,174,1509985
GODDESS FAMILY CLUB,"My Heart Iidasenai, Your Heart Tashikametai",131.74,193515
EARPHONES,Mimi no Naka e,176,364782
Duca,Kioku x Hajimari (Short Ver.),185,1721749
Akatsuki Records,WARNING x WARNING x WARNING,172,755619
Fazerdaze,Lucky Girl,173,2185533
Duca,Shiawase no Otoshimono,163,1899762
Italy(CV:Namikawa Daisuke),Mawaru Chikyuu Rondo (Short Version),145,444888
Choucho,Authentic symphony (TV Size),175,40560
HyuN,White Aura,200,891333
Suzuki Konomi,Zenbu Kimi ga Ita kara Shittanda,185,1765297
Tsukisaka Sayu (CV: Kito Akari),Rocket,175,1932072
Shihoko Hirata feat. Yumi Kawamura,key plus words,174,1756555
Suzumu feat.Soraru,Zetsubousei: Hero Chiryouyaku (TV Size),205,104801
Three,Kuuchuu Bunkai,200,1731357
Suzuki Konomi,Bursty Greedy Spider (TV Size),178,1420385
Raymond Wong,Shaolin Soccer Opening,138.02,24188
Syalis Hime (CV: Minase Inori),Kaimin! Anmin! Syalist Seikatsu (TV Size),141,1265580
Golden City Factory,Twilight Chronicle ~ I am Sister,139,25381
Adagaki Aki (CV: Ohashi Ayaka) & Fujinomiya Neko (CV: Minori Suzuko),Egao de Hadapure! (TV Size),182,1412928
Takamachi Walk,Until the End of This Dream,160,2111234
Comp,Kyoai,160,28609
PSYQUI feat. mikanzil,Endroll,180,1860583
kors k feat. Furukawa Mirin,Drive Me Crazy,180,65950
SUPER BEAVER,Rashisa (TV Size),168,920404
