m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,1026729,1864.3,196.21,6253,Taeyang's Good Good Time,480765,91,5.36405,1272097,81501,415193,9.3,8.5,4,7
0,949011,1812.66,224.02,4423,Dan Dan,441155,124,5.59067,1020574,90652,406021,9.2,8.5,4,6.6
64,2347578,1789.44,252.84,3477,browiec's Expert,1123162,79,4.08587,1311087,53057,443887,8.5,8.2,3.6,5
0,808848,1784.09,219.7,4423,Lemur,368985,88,5.51575,1076457,94557,402157,9,8.5,4,6
0,1869933,1782.08,270.57,3233,A I U R A !,894883,59,6.11469,1986183,61469,435221,9.6,9.4,3.6,6
0,2201553,1780.79,217.14,4301,Extreme,1053509,87,5.68539,1244826,59774,436897,9.4,9,3.8,5.5
64,1067123,1704.52,231.05,4351,Insane,471261,84,4.04281,643656,87366,409412,8,7,4,6
64,781124,1703.04,282.37,2938,Taeyang's Insane,352714,88,4.25105,1346892,95589,401121,8.4,8,4,6.5
0,1264763,1699.69,120.81,6680,Little's Insane,596704,86,4.57759,1780734,81947,414726,9,8,4,6
72,1067123,1697.46,252.05,3477,Insane,471261,84,4.04281,643656,87366,409412,8,7,4,6
0,2444148,1696.43,286.12,2933,Ambition,1171789,89,6.21308,967005,54879,441792,9.4,9.3,4,6
0,2860521,1694.9,270.61,3233,Shiawase!,1384619,90,5.89884,617953,47970,448730,9.4,9.3,3.8,5.2
0,1613232,1668.3,125.2,8375,Insane,765778,38,4.85312,2585844,72840,423748,9,8,3.8,5
0,136400,1665.02,121.62,6680,Dear Rue,43466,102,4.82284,2893062,107493,369404,9,7,4,7
0,2096800,1635.53,238.77,3666,Sabishii,1001653,158,5.52778,316332,59491,437197,9.3,8.8,4,6
0,1988751,1633.94,78,8247,Light Insane,952409,66,3.97573,4129452,64363,432333,8.8,7,3.4,4.5
0,1857519,1629.39,307.1,2183,Nevo's Extra,873811,59,6.12695,675891,67007,429654,9.6,9.8,4,5.2
0,1849505,1620.7,135.45,5742,Expert,859783,28,4.97369,1127970,63610,433010,9.1,8.7,3.8,5
0,979155,1618.24,165.85,7000,uhh?,456986,84,5.06031,1960314,89207,407463,9.2,8.2,4.2,6.2
0,2084862,1613.02,373.62,1626,Intense Ecstasy,983911,94,6.69112,545013,60350,436375,9.4,9.6,4.2,5.5
0,2486881,1591.35,322.48,2315,Harmony,1193588,301,6.02944,615402,53854,442827,9.3,9.3,4,5
0,2069841,1584.92,357.67,1895,Ultimate Magic,985788,160,6.35557,767520,62299,434390,9.4,9.3,3.6,6
64,2684855,1579.79,274.23,3233,Insane,1280506,57,4.38578,2091138,49842,446838,8.5,8,3.8,4.5
0,2250747,1573.68,238.73,3666,Fatfan's Extreme,1073074,31,6.05731,595782,58553,438118,9.2,9.2,4.2,5.2
0,933875,1531.52,392.28,1246,N a s y a's Extra,413117,174,6.88011,496494,59379,437280,9.5,8.5,3.8,6
0,1119026,1518.07,92.65,9246,Mystery,527431,39,4.43427,4511742,84693,411992,8.8,8,4,6
0,1811527,1504.13,472.55,588,Nightmare,866472,639,6.51884,177354,67122,429580,9.5,8.7,4,5
0,5127729,1494.53,396.68,1214,love me,2374386,52,7.06327,146179,10393,486278,9.6,9.4,4,5
64,519080,1494.27,345.54,1974,Insane,221954,138,4.44966,760137,102899,393771,8,8,4,7
0,1643270,1470.93,249.62,3477,Lami's Extra,781509,85,5.75342,631449,70985,425590,9.3,9,3.8,5.2
0,1675834,1459.74,111.3,6592,Insane,798007,46,4.42283,1670841,71610,425023,9,8.5,3.8,5
0,2168768,1455.33,247.5,3584,Seductive Extra,983911,95,5.87246,939888,60350,436375,9.2,9.4,4.5,5.3
0,1595191,1427.12,253.61,3477,Rainbows,758344,97,5.78229,904536,73508,423169,9.4,9.2,3.8,5.2
0,796721,1425.11,183.15,6659,Extra,362718,89,5.29002,495570,95261,401494,9.3,8,4.2,7
0,2349467,1384.28,214.66,4301,"I'm fine, thank you!",1124391,100,5.27411,842256,55846,440824,9.3,9,4,5.5
0,953394,1379.44,153.53,7627,Tears,443589,62,4.98744,1157394,89557,407134,9.2,8,4,6
0,3601629,1361.76,361.54,1868,Illusion,1759729,255,6.20273,235211,37062,459636,9.3,9,4.2,6.2
64,1492012,1361.11,147.68,6470,Chromstrata's Insane,705423,32,3.61722,1610667,73457,423214,7.5,7,4,6
0,1642274,1355.2,254.4,3477,Extra,781509,85,5.98052,1219329,70985,425590,9.3,9,3.2,5.2
0,1618799,1347.74,189.41,6011,Battle's Insane,769917,128,5.0228,473337,72368,424212,9,8.2,4,6
0,1091249,1346.01,204.82,5155,Extra: Taki,513590,106,5.29071,1740288,85504,411195,9.4,8.7,4,6
0,2223144,1345.11,129.51,6221,Anzei's Another,1061287,31,4.97003,1530243,58766,437761,9,8,4,5.4
0,5127725,1328.97,294.43,2896,choose me,2374386,52,6.40512,239200,10393,486278,9.5,9.3,3.8,5
0,676172,1322.28,337.87,2241,Dreamer,185250,178,6.20049,518042,95209,401583,9.5,8.8,4,6.5
0,1059390,1304.87,73.19,10562,Insane,497769,42,4.00718,4176105,87003,409724,9,7.5,4.3,6
72,781124,1304.31,302.86,2472,Taeyang's Insane,352714,88,4.25105,1346892,95589,401121,8.4,8,4,6.5
0,1614054,1271.24,131.06,6221,NiNo's Insane,765778,40,4.90861,1716597,72840,423748,9,8,3.8,5
0,803704,1262.79,104.53,8990,Platinum,361740,117,4.32905,2738294,79866,416818,9,7,4,6
0,898575,1253.39,263.56,3972,grumd's Extra,326920,130,5.94155,567740,84566,412160,9.5,8.2,4.2,6
0,2204234,1248.15,343.75,2103,Extreme,1054931,214,6.27359,392634,56865,439819,9.5,9,4,6
0,2419085,1229.45,342.58,2103,"Ready, Set, Go!",1158561,277,6.05993,383554,49323,447423,9.5,9,4,5
0,2756887,1227.47,92,9246,PikA's Insane ft. Kuro,1328989,86,4.32522,1421332,47847,448830,9,7.5,4,5
72,2684855,1225.17,290.66,2896,Insane,1280506,57,4.38578,2091138,49842,446838,8.5,8,3.8,4.5
0,901854,1216.99,464.09,676,Nostalgia,416153,183,7.00612,376137,83138,413585,9.8,9.2,4,6
72,1483372,1212.09,416.41,901,Tights,700726,155,4.48178,352350,76170,420492,8.5,8.7,3.8,6
0,1219094,1206.8,363.67,1868,Promise,503213,297,6.2521,178749,81886,414856,9.5,9,4,6
72,1711830,1203.06,179.79,6659,CUT THE INSANE,816264,38,3.66756,5043384,67751,428978,8,7.5,4.2,5.5
0,2044368,1182.84,172.12,7067,Reform's Expert,950289,88,5.02572,1594809,62727,433850,9.2,8.7,3.5,5.2
0,1612454,1175.49,199.2,6253,Extra,765778,38,5.46508,1479474,72840,423748,9.2,9.1,3.2,5
0,2131813,1170.26,249.31,3584,Extreme!,894883,59,5.8029,914427,61469,435221,9.4,9.2,3.5,6
0,1969946,1155.15,248.55,3584,Sotarks' 1+2 IQ,942642,87,5.80479,1138743,63949,433032,9.2,9.5,3.8,5.2
64,339055,1153.94,240.49,3537,Irre's Extra,109570,31,4.26053,537154,107493,386937,8,7,7,7
0,786018,1144.42,259.62,3972,Guy's Extra,352570,151,5.63019,595695,94222,402489,9.2,8,3.8,6
0,2025941,1127.32,113.49,6592,Insane,968171,53,4.56498,2999079,63907,432833,9,8.2,3.6,4.8
0,1595303,1125.22,179.75,6659,Expert,758344,97,5.10294,488952,73508,423169,9.2,8.7,3.8,5
64,4905127,1120.42,273.34,3233,Another,2295884,57,4.34891,250449,10007,486674,8.4,8,1.5,5
0,780914,1090.86,189.06,6011,Still Alive,354537,79,5.36567,1959781,93940,402805,9.2,8.5,4,7
0,1264972,1086.35,124.15,6680,Kencho's Insane,596704,87,4.60857,2208558,81947,414726,9,8,3.6,5.4
