art,t,bpm,s
feru.*,etWas,132,1534144
Jin Yan Xie,Dancing Kong Fu,145,29706
TuTuWan,Wo Ge Zai Guang Dian,150,12034
FREDERIC,Kanashii Ureshii,142,635597
MY FIRST STORY,Missing You,190,477251
Yuzuki,Dear You (DJ Genericname DnB Remix),174.1,720066
senya,Yureru Koi wa Nami no Gotoku,160,234999
xi,ANiMA,183.5,359191
YOASOBI,Ano Yume o Nazotte,180,1150457
Yoko Shimomura,Never Let Up!,196,607959
WALK THE MOON,Shut Up and Dance,128,421156
Ceui,"Ima, Arukidasu Kimi e.",87,402680
Hitori Bocchi (CV: Morishita Chisaki),"Ne, Issho ni Kaero. (TV Size)",184,1127858
Linkin Park,Numb,110.04,8506
Linkin Park,Waiting for the End,85,157880
Memme,Avalanche,175,611095
Raphlesia & BilliumMoto,My Love,175,1388906
"Wan Ho-Kit, Lee Hon-Kam",Unknown Title,190,468614
ginkiha,nightfall,92,1151833
sakuzyo,Laplace,155,45671
Qrispy Joybox feat.mao,Colorful Minutes,152,62537
petit milady,A or A!?,182.2,764785
ELISA,Wonder Wind,163,28415
IDIOTAPE,"Qilin's Prance (Czaer, Hwan, Link, Brand_color Remix)",154,1596468
Rchetype,V Is For,178,111914
Official HIGE DANdism,Yesterday,130,1070149
ChouCho,Orange Iro (TV Size),90,904087
sakuzyo,Imprinting,175,264299
TJ.hangneil,Apollo,274,1650673
JULIA,HEAVEN IS A PLACE ON EARTH (German Election Mix),141,20109
TRUE,Storyteller (TV Size),192,1342862
Bee Gees,Stayin' Alive,103.66,3765
Shade,Rebirth the edge,208,34277
CHiCO with HoneyWorks,Gamushara (TV Size),194,1513461
onumi,CONFUSION PART ONE,200,1037665
C-Show,Rocking to the Beat (Cut Ver.),174,2031865
Demetori,Plastic Mind ~ Alice in Underground,260,446947
40mP feat.yuikonnu,Ame to Asphalt,190,159527
ALiCE'S EMOTiON,Be Back ON!,195,135778
Hommarju feat. Latte,masterpiece,180,12483
Dirty Androids,City Never Sleeps,178,234030
Jeff Williams,Rising (feat. Casey Lee Williams) (TV Size),171,893162
IRON ATTACK!,Future is Undefined,200,32447
GRANRODEO,TRASH CANDY (TV Size),182,761804
Hanazono Tae (CV: Otsuka Sae),Hanazono Denki Guitar!!!,188,943947
TrySail,Cobalt TV Size,170,337250
Petit Rabbit's,Happiness Encore,135,954168
IOSYS,Chizome no Love Letter,180,35878
Kamiyama Yoh,Irokousui (TV Size),148,1344883
Drop,Granat,180.96,833513
supercell,LOVE & ROLL (Full ver),134,12027
HOYO-MiX feat. Robin (VO: Chevy),Hope Is the Thing With Feathers,128,2178787
Kigurumi,Kurutto Mawatte Ikkaiten,125,6296
ZUN,Kyouki no Hitomi ~ Invisible Full Moon,158,974523
Taylor Swift,You Need To Calm Down,85,1365850
ELISA,Dear My Friend -Mada Minu Mirai e- (TV size),129,471261
AKITO,Sakura Kagetsu,138,32351
Girl's Day,Expectation,127,86290
Mizuki Nana,Tenkuu no Kanaria,152,12785
Franz Liszt,La Campanella,100,14016
HoneyWorks,Akatsuki Zukuyo,180,332800
Maduk,Ghost Assassin VIP feat. Veela,176,533298
GFRIEND,MEMORIA,137,848112
Ado,Odo,128,1450065
Masayoshi Minoshima,Flight of the Bamboo Cutter,190,47754
ovEnola,Noose (Cut Ver.),200,1348020
USAO,Cyaegha,200,1314759
Kenmochi Toya,Last Dance,176,1290106
Syrufit ft. Mei Ayakura,on the way home,128,73357
MOB CHOIR,99,190,1221343
Lady GaGa,Beautiful Dirty Rich,120,6441
Two Door Cinema Club,Undercover Martyn,159.87,1369417
Little Non,Hanamaru Sensation,190.04,2207
MaxNRG,Hide Away My Heart,174,502928
Camellia feat. Nanahira,Tsukitourou,191,383147
So'Fly,i BELIEVE~Hoshi ni Negai o,103,516179
Yuki Kajiura,Mezame,160,22659
Yoko Takahashi,Zankoku na Tenshi no These <TV.Size Version>,128.64,672960
HTT,Singing!,180,68399
nameless,Sayonara Wonder Noise,240,483885
LiSA,Gurenge (TV Size),135,956590
Ocelot,YUKARI,174,497536
Tommy heavenly6,PAPERMOON (TV Size),164,601315
Thaehan,Ohayou !,188.5,1030093
Cream puff,Mermaid girl,140,715915
mafumafu,Envy Baby,171,1412697
HoneyWorks feat. sana,Ima Suki ni Naru.,170,828753
Sakaue Nachi,Think of You,164,24838
Hatsune Miku,SING & SMILE,190,27810
DIALOGUE+,Omoide Shiritori (TV Size),172,1434635
Akatsuki Records,WARNING x WARNING x WARNING,172,755619
Doubutsu Biscuits x PPP,Ke-Mo-No-Da-Mo-No,162,1029394
Charli XCX,Boom Clap,92,730792
Tatsh feat. Hatsune Miku,Cinderella Romance,174,14850
Hyde,COUNTDOWN,205,4029
Katy Perry,E.T. (Cut Ver.),150,1060234
Mili,Gertrauda,116,807114
Sound Souler,Absent Color,192,1583461
Yusuke,V (TV Size),200,971957
League of Legends,Flash Funk (Marshmello Remix),142,785504
Yousei Teikoku,Weiss Fluegel,180,39320
Suzumu feat. GUMI,Sakurairo Time Capsule,170,1195834
Samoto Fuuri,motto~,160,50473
Epik High,Fan,166,8499
150P,Makeinu Shijou Shugi,200,384792
sana,Miraizu,178,378196
kors k vs. L.E.D.,SOLID STATE SQUAD,155,15630
Kola Kid,the Earth is counting on you,210,673494
Memme,Force of Ra,180,573479
Ninomiya Asuka (CV: Aoki Shiki),Kyoumei Sekai no Ontology,190,841338
NatureQ,Zuo Zai Xiang Kou De Na Dui Nan Nv,135,16029
emon,shake it!,130,215819
Selphius,Blade of Hope (Another Version),188,1386486
Mami Kawada,sense,168,325638
monobright,Anata MAGIC (TV Size),158,1190128
ClariS,Wake Up (TV Size),132,54800
Thalia,Arrasando,132,1930803
Mutato Muzika,China,159.3,19588
CIX,WIN (TV Size),101,1216307
Unknown Artist,Spelunker,151,1145452
Horie Yui,silky heart (TV Size),135,2091166
miko,Everlasting Snow,142,12601
TrySail,Free Turn,185,1572948
Epica,Fools of Damnation,150,69369
Toby Fox,BIG SHOT,140,1580221
MC Sniper,Minchoui Nan,110,1612833
Mori Calliope x Hoshimachi Suisei,CapSule,120,1865031
Sara Bareilles,Love Song,123,26112
SID,V.I.P,185,801096
sana,"Sayounara, Hanadorobou-san",170,1295063
Ogura Yui,Baby Sweet Berry Love (TV Size),170,89596
Ryokuoushoku Shakai,Hana ni Natte (TV Size),192,2097428
DA PUMP,Dragon Screamer,124,4910
Triodust & KuensanP,Bad Karma,99.91,770084
Maon Kurosaki,Afterglow,82,347967
Nashimoto Ui,AaAaAaAAaAaAAa (Cut Ver.),192,1159170
Powerless feat. kakichoco,hypnoSpirA,185,847415
MONO NO AWARE,Zokkon,208,1525899
NaixLM,Miao Diao Dui You Shun Jian Bao Zha,158.52,289713
Chitose Sara,Arcadia (Short ver.),178,413909
Shota Kageyama,"Ikkyoku Ikaga? ""Yurenu Omoi""",88,491275
HujuniseikouyuuP,Sayonara Lechenaultia,195,65747
Yoko Shimomura,Doctor Kokino,159.95,1669033
HO-KAGO TEA TIME,Tenshi ni Fureta yo! (Asterisk DnB Remix),175,506780
cYsmix,Dovregubben's Hall,140,360950
toby fox,Amalgam,180,1597321
Fractal Dreamers,Everything for a Dream,120,943803
Sangatsu no Phantasia,PINK LEMONADE (TV Size),191,1327577
technoplanet,Fly Like You [Long Version],286,1079909
Mili,Nine Point Eight,164,1924231
DJ TOTTO feat. Sunao Yoshikawa,Arousing,179,148092
Ogura Yui,Baby Sweet Berry Love (TV Size),170,85361
Ebisuzawa Kurumi (CV: Ozawa Ari) & Wakasa Yuuri (CV: M.A.O),HERO,136,1068297
Kitsune Soundsystem,Raptorjesus Died for Our Sine Waves,176,32405
Kola Kid,press start,200,1107725
Mika,Grace Kelly,122.27,21269
DJ Spyne & Pippo Palmieri,Deep In My Soul (Nightcore Mix),151.2,38639
Function Phantom,Algebra,177,468281
The Gregory Brothers,Auto-Tune the News #2,152.05,8327
Yakushimaru Etsuko,Venus to Jesus (TV Size),156,15136
Han,Mysterious Messenger ver. Korean,128,670478
LiSA,Homura,76,1397428
Primary,in the Garden,224,492525
ice ft. NicoNico Chorus,Theme of Puella Magi,148,28799
Takigawa Alisa,Sayonara no Yukue ~TV size~,170,406372
"Gabry Ponte, LUM!X, Prezioso",Thunder (Nightcore Mix),148.5,1749750
Koven,Get This Right,86,347947
Denkishiki Karen Ongaku Shuudan,Watch out!,169,1130504
Miyazaki Ayumi,brave heart,142,107222
GET IN THE RING,Moonscraper,220,855735
Stonebank,Ripped To Pieces (Feat. EMEL),170,590385
TRUSTRICK,Recall THE END (TV Size),184,1020042
Tia,Deal with the devil (TV Size),142,762301
UVERworld,CORE PRIDE (TV Size),185,1141873
DJ YOSHITAKA,CUSTOM DRIVE,155,142937
"Fear, and Loathing in Las Vegas",Let Me Hear,184,225293
ASIAN KUNG-FU GENERATION,After Dark (TV Size),191,1801641
Escape The Fate,Forget About Me (Cut Ver.),190,1429757
Rhodanthe*,Yumeiro Parade,180,295685
Horie Yui,Asymmetry (TV Size),173,1171292
8284 vs wa.,Adularescence,190,119438
Ito Kanako,Skyclad no Kansokusha,167,416129
Renard,Banned Forever,220,16349
Ai Otsuka,Cherish,154,13841
Marika,Knowing,140,53176
Prismo,Stronger,140,715050
Shakira,Ojos Asi,127,1915703
Izumi Akazawa (CV. Madoka Yonezawa),Responsibility Response,202,495332
Horie Yui,Coloring (TV Size),117,43976
Rex,Heart of Witch,170,20309
Rie Kugimiya,Gomen ne (TV Size),148,23663
ALI PROJECT,Katana to Saya,135,245118
"Fear, and Loathing in Las Vegas",Jump Around,200,86861
Hanabasami Kyo,Charles (Arrange ver.),142,1001673
u's,Snow halation (TV Size),173,233123
*namirin,Senaka Awase no Kuukyo (with Kakichoco),186,716249
Camellia,Chirality,201,227598
DJ YOSHITAKA,Evans,185,17812
Fujijo Seitokai Shikkou-bu,Best FriendS,163,189476
*NSYNC,Bye Bye Bye,172.58,11523
Halozy,Koi no Serenade,128,408302
"NicoNico Chorus, Hatsune Miku",Romeo & Cinderella,170,11036
Duck Sauce,Barbra Streisand,128,26197
zts,lastendconductor,139,685558
Gackt,Journey through the Decade (TV Size),170.1,15526
Aqours,Aozora Jumping Heart,200,611367
Mili,Within (TV Size),76,920459
senya,Magica,160,91791
Tokisawa Nao,BRYNHILDR IN THE DARKNESS -Ver. EJECTED-,217.92,170604
Haruka Tomatsu,Q&A Recital!,182,229323
STEREO DIVE FOUNDATION,Chronos (TV Size),200,1049950
Camellia,GHOST (2020 Halloween+++++++++ VIP),230,1301991
Shade,Ontology,234,1558024
sun3,Higan Retour,200,14464
XX:me,Torikago (TV Size),155,726765
Rin,Prism Magical (DJ SHARPNEL hardrave remix),186.78,39032
yanaginagi,Hoshiboshi no Wataridori,158,924320
Ceui,Haruoto*Veil,180,677875
Itou Kanako,Dramatique?,139,122263
senya,Theta de Tsukisashite,160,1353531
Kozato,45nen no Yukizakura,170,36097
minato,SECRET & TRAP,129,274593
Rise Against,Making Christmas,164,247165
nano,Omoide Kakera,200,454627
Sasanomaly,Sora to Utsuro (TV Size),104,1542600
Soushi Sakiyama,Gyakkou,225,1523018
Lostprophets,A Town Called Hypocrisy,165.36,15464
Kae Hanazawa,Sailor Star Song,141.9,5201
Marika,Knowing (Short Ver.),140,48552
Nanjo Yoshino x Kayano Ai (as Shirabe Tsukuyomi x Kirika Akatsuki),Edge Works of Goddess ZABABA,157,159750
Marika,knowing,140,677700
Itou Kanako,F.D.D. (TV Size),165,816799
nano feat. MY FIRST STORY,SAVIOR OF SONG (TV Size),192,1040690
James Landino,Reaction feat. Slyleaf,132,972816
Hiroyuki Sawano,BLOWIN',98,560165
Yellow Zebra,Hyouketsu Musume,150,11841
Ito Kanako,Uncontrollable (TV Size),210,659240
SPYAIR,PRIDE OF LIONS (Cut Ver.),210,1423394
Mitsuyoshi Takenobu no Ani,Amphisbaena,185,576022
Nickelback,Savin' Me,163.85,15639
angela,Beautiful Fighter,165.02,12065
Taylor Swift,Mine,121,26080
MY FIRST STORY,LEADER,180,1378278
Ai Higuchi,Akuma no Ko (TV Size),90,1670886
The Rasmus,In The Shadows,106.02,28142
Swan Lake Orchestra,Hakuchou no Mizuumi,220,25922
Xelia,Illumiscape,187,43960
Nightwish,Planet Hell,146,167077
Satoshi with Pikachu (CV:Matsumoto Rica/Otani Ikue),Alola!!,153,547994
TUYU,Loser Girl,186,1333508
Ai-chan (CV: Harada Sayaka),Otome no Tawawa (TV Size),160,866432
DJ Poochies,The Landing,210,183438
Barbarian On The Groove feat. Chata,Guruppo (Short Ver.),180,44625
Hoshimachi Suisei,phony,170,1687084
dj TAKA,snow storm,145,151033
Uru,Freesia (TV Size),74,915848
solfa feat. Ceui,Koiiro Recipe (Cut Ver.),153,918591
Duca,Kimi ga Suki,155,105857
Kitta Izumi,Dou Kangaete mo Watashi wa Warukunai (TV Size),148,119676
sphere,HIGH POWERED(TV ver.),187,421936
LiSA,AxxxiS (TV Size),194,868679
HO-KAGO TEA TIME,Pure Pure Heart (Full Ver.),154,17058
Katakiri Rekka,(^3^)chu Dere Rhapsody,168,51052
M2U,Memory of Beach,130,22401
POSHLAYA MOLLY,SHKOLA NE NUZHNA,173,776187
Sharlo,Shinkai Shoujo,137,221768
shikiura sougo,Laundry,187.5,2208231
AAA,BLOOD on FIRE,154.98,13100
MACINTOSH PLUS,ECCO to Okan Daibingu,81.65,658811
ZUN,Native Faith,164,7414
gmtn. (witch's slave),furioso melodia (2017 VIP),155,1009732
Krewella,Live for the Night (Nightcore Mix),150.93,1204367
Swimy,Acchi Muite,187,1141606
inabakumori,Lost Umbrella,274,1455997
Soraru,Ama no Jaku,200,34814
Natsuiro Matsuri & Gawr Gura,Sorairo Days,174,1462382
EMI,Anima Libera (Strong Edit) (Nightcore & Cut Ver.),196.32,1788259
The Penguin Band feat. Cadence,Ghosts Just Wanna Dance (Cut Ver.),170,1481194
illion,AIWAGUMA,176,533037
Glacier,Neos,116,771096
Akiyama Uni,Touhou Hisouten,120,455069
cosMo@Bousou-P,Sadistic.Music Factory,165,476871
Megadeth,Grabbag,166.97,7077
Amatsuki,STARTRAiN,178,1094460
Juice WRLD,Wishing Well,75,1236449
Kanno Yugo,il vento d'oro,135,1250853
Hitomi Sato,Route 201 (Day),120,2067239
"Azumi Waki, Marika Kouno, Machico",Umapyoi Densetsu,170,664462
Aimer,Brave Shine (TV size),85.5,300626
The Chainsmokers & Coldplay,Something Just Like This,103,611301
ZUN,Maiden's Cappricio ~ Dream Battle,160,18005
Toyosaki Aki,GO!GO!MANIAC,250,14692
Duca,Zettai Darli'n,170,414709
Groove Coverage,21st Century Digital Girl Remix (Nightcore Ver.),171.82,13771
Little Glee Monster,OVER (TV Size),180,745451
ALiCE'S EMOTiON,"under the black, over the shine",170,22222
Cororo,Fairy ring,192,316761
Silver Forest,Sakase * Sakase,200,12508
East Rockerz,Sound Of My Dreams (DJ Splash Remix),145,12998
S-C-U,milky ice bear,147,57272
Analog digitaL,IBUKI,138,1282968
EGOIST,Namae no Nai Kaibutsu (TV Edit 92s ver),180,71576
Chimame-tai,Tokimeki Poporon,170,364922
Muse,Panic Station,105,60189
Childhood Crusher-P,Calalini,140,112664
Amaranthe,Hunger,200,1028446
Franchouchou,Saga Jihen,224,1250846
Endorfin.,Luminous Rage -Feryquitous OrderBless Remix-,179,743239
Meramipop,Unknown x known - DYES IWASAKI Remix -,180,800070
"Minase Inori, Hanazawa Kana, Iguchi Yuka, Hayami Saori","Koko kara, Koko kara",175,840217
Chiho feat. majiko,Egao no Kanata (TV Size),185,915403
Vansire,That I Miss You,115,1464519
LIP x LIP,nonfantasy (TV Size),185,812205
Ramin Djawadi,The Rains of Castamere,172.82,103068
UNISON SQUARE GARDEN,Chaos ga Kiwamaru (TV Size),195,1863429
Nijigasaki High School Idol Club,Colorful Dreams! Colorful Smiles! (TV Size),185,1738303
Kommisar,Chipstream,151.41,104784
CHiCO with HoneyWorks,Wolf,190,1257977
Ohashi Ayaka,Wagamama MIRROR HEART (TV Size),181,555617
yuikonnu,Osanana Blue,148,446085
Hanatan,Hyakunen Yakou,178,79100
Hanatan,Jishou Mushoku,120,502184
Nightwish,Sagan,146,395298
Yakushi Ruri,"Oniichan, Gyutte Shite! Motto Shite!",173,1063886
Insert Rupee,Facing Fears (OC ReMix),200,36541
THE ROLLING GIRLS,Yuugure,122,433666
Ito Kashitaro,Melancholic,140,1189709
3L,Spring of Dreams,153,739119
SawanoHiroyuki[nZk]:mizuki,&Z (TV size),158,275507
Komine Lisa,Resuscitated Hope,130,347023
Lia,"My Soul, Your Beats! (TV Size)",145,1284108
Shawn Wasabi,Otter Pop (feat. Hollis),93,1554250
Aso Natsuko,Perfect-area complete! (TV Size),183,95624
Uehara Rena,Todokanai Koi '13 (TV Size),135,1132232
Berryz Koubou,Maji Bomber!! (TV Size),190,37814
Shimoda Asami,BEAUTIFUL SKY Rin Solo Ver.,180,245251
respon feat. Hatsune Miku,39-byou,158,2111625
Tateishi Takashi,FLASHMAN STAGE,150.2,2102254
(K)NoW_NAME,Morning Glory,220,596015
Tatsh,Kachoufuusetsu,199,4598
Girls Dead Monster,Rain Song (Full ver),161,16313
wotoha,O108ROCKET (feat. Neko Hacker),200,1510106
Yves Larock,Rise Up (Extended Mix),128,5550
Maon Kurosaki,ROAR (TV Size),236,1675457
Co shu Nie,asura,180,986422
Ryu*,Bass 2 Bass,140,30296
Krewella,Come And Get It (Razihel Remix),110,803126
CINDERELLA PROJECT,Star!!,178,255003
SPYAIR,Genjou Destruction,194,484981
Jashin*Girls,Anoko ni Drop Kick (TV Size),230,817560
Machine Girl,ATHOTH A GO!! GO!!!,180,1127207
yanaginagi,Vidro Moyou (TV Size),131,44540
Giorgio Vanni e Cristina D'Avena,Roba da Gatti! (TV Size),183,15881
Hatsuki Yura,Shoujo to Ougonryuu no Monogatari,226,719158
DM DOKURO,1NF3S+@+!0N,152,2164005
sajou no hana,Tentou (TV Size),197,1813053
void,Sun Goes Down (BMS edit),173,382413
Mizuki Nana,Get Up! Shout! (TV Size),206,1736694
FROZEN QUALIA,M'aider,185,1351681
TWICE,HOLD ME TIGHT,198,616044
plingmin,This world is yours (TV Size),116,1185829
Takanashi Yasuharu,Doku Ryuu no Kobura,200,39950
mary,Kimi no Yozora Shoukaihan,185,1409421
Citrus and Ocean Colour,Sugar Coaster Girl,195,1774229
ClariS,SHIORI,176,747684
Co shu Nie,Lamp (TV Size),180,1325620
Miwako Okuda,Shizuku,117.94,1005
Giga,-BWW SCREAM-,180,404658
Maeshima Mayu,Long shot,135,1779463
Hotaru Murasaki,Re:TrymenT,190,636072
Kano,Dear Brave,188,753356
Mami Kawada,Contrail ~Kiseki~,168,425986
Katakiri Rekka & Suzuyu,Girl meets Love,185,281857
TWICE,What is Love?,170,762823
Ami,"The World: Stars, Skies, and Paths",176,712391
Imperial Circus Dead Decadence,Danzai No Honoo To Koibito-Tachi No Rondo,174,961431
Molly,Beneath The Lights (Darren Styles Remix),170,355065
Nightmargin (Casey Gu) and Michael Shirt,Niko's theme,93.33,2051065
ALEX TERRIBLE,Last Christmas,106.75,1635494
Yu-Peng Chen @HOYO-MiX,Nimble as Lightning,200,1366534
Three,Kuuchuu Bunkai,200,952132
mafumafu,Manjushage,140,939484
Yamabuki Saaya (CAST: Ohashi Ayaka),Tooi Ongaku ~HEART BEAT~,168,647804
StekloVata,Novy God (feat. gr. Chernilnoye Nebo),143.6,549421
Bring Me The Horizon,in the dark (Cut Ver.),156,1227086
Suzuki Konomi,Yume no Tsuzuki (TV Size),165,86490
Itou Kanako,Hacking to the Gate (TV Size),161,78847
Underoath,A Moment Suspended in Time,176,407575
sana,Hisui no Machi,180,1017483
Aqours,Kimi no Kokoro wa Kagayaiteru kai?,182,464706
ave;new feat. Saori Sakura,Awayuki,130,14424
WALKUERE,GIRAFFE BLUES ~ Kaname Solo Requiem ~,108,735328
Harada Hitomi,Kyuuai Real (TV Size),163,31057
Doin,Further,194,780833
Yasuda Rei,Lots of Love,154,944339
Galdeira,Almagest,178,41933
Vivy (CV: Yagi Kairi),Sing My Pleasure (TV Size),175,1508244
Len Kagamine,Kokoro Kiseki,140,21967
Aoi Eir,PHOENIX PRAYER (TV Size),166,1714895
Natsume Chiaki,Sentimental na Aiboshin,150,239374
Hatsune Miku,THIS IS SPARTAAA!!!,140,2201
Sakuragawa Megu,Singing Wheel,248,1414414
Yoche feat. Mayu,Chocolate Dancing,90,123409
Sekirei Cast,Hakuyoku no Seiyaku ~Pure Engagement~ (TV Size),138,20592
Nakagawa Shouko,happily ever after,180,253823
OKAMOTO'S,Welcome My Friend (TV Size),109,1247093
yuikonnu,Yume Chizu,176,650057
Hatsune Miku,Kimi ni Uso,92,25000
MIOYAMAZAKI,Saiai,187,1756776
Hanazawa Kana,Renai Circulation,120,9430
SYO,behind the heart,133,42832
Paramore,Anklebiters,230,227990
Trial & Error feat. bunny*kaisui,"Sore ga Zenbu, Yume ni Tsunagaru (Short Ver.)",167,1051792
Natsushiro Takaaki,Near feat. Hatsune Miku,128,1284534
Mariah Carey,All I Want For Christmas Is You,150.2,11294
La Roux,Tigerlily,142,10125
Butch Hartman and Ron Jones,The Fairly OddParents,195.1,9028
Camellia vs Akira Complex,Railgun Roulette (VIP),175,694402
EGOIST,Departures ~Anata ni Okuru Ai no Uta~ (TV Edit),72,117492
Imy,Ray of hope,185,1227702
LM.C,88 (TV Size),175,1595977
Asumi Kana & Fujita Saki & Kitamura Eri,COOLISH WALK (TV Size),242,37136
Printemps,Eien Friends,156,235836
Duca,Dreamer Short ver.,166,238669
EGOIST,Namae no Nai Kaibutsu (TV Size),180,1031560
Luck Life,Symbol (TV Size),154,762407
coldrain,Vena,260,550046
Tomatsu Haruka,Resolution (TV Size),195,1050419
Kawada Mami,u/n (Cut Ver.),184,1340027
Sonoda Umi(CV.Mimori Suzuko),Yuuki no Reason,180,403625
Ado,AntiSystem's,190,1662313
KuensanP,Don't Blow It!,153.82,1569667
"ILLENIUM, Tom DeLonge, Angels & Airwaves",Paper Thin,156,1346246
Chanefutoshi,Kaleidoscope,95,232842
Lie and a Chameleon,mononoke in the fiction (TV Size),195,1330065
ClariS,Butterfly Regret,167,665235
Chihara Minori,Kyoukai no Kanata (TV Size),184,1664358
Avril Lavigne,Hello Heartache,87,133492
Rita,Haru Hana no Iro -Reboot Ver.-,165,53785
T.M.Revolution,FLAGS,175,395160
Foo Fighters,The Pretender,173,923703
nano.RIPE,Tsugihagi Moyou (TV Size),127,1348216
Tamura Yukari,W:Wonder tale (TV Size),183,132806
Nanahira x Camellia,INFINITI MOFULITY short ver.,180,705038
Minase Inori,Winter Wonder Wander,136,1122158
rejection,Calling (osu! edit),155,1458359
FELT,a wonderful moon,190,190847
ROUND TABLE featuring Nino,Yakusoku no Basho,144,109425
Alya (CV: Uesaka Sumire),Kawaikute Gomen (TV Size),162,2212715
Rameses B,Transcend,170,339708
Sayuri,Koukai no Uta (TV Size),180,1054062
Ray,lull ~Soshite Bokura wa~,133,172450
Sakuragawa Megu,Love Synchronicity,192,1015511
Rita,Little Busters! ~TV animation ver.~,151,200500
ave;new feat. Sakura Saori,Mugendai LOVERS (Short Ver.),170,34645
Nekomata Master feat. *spiLa*,Clumsy thoughts,153,190754
Yousei Teikoku,Asgard (Short Ver.),130,26334
Asaka,The Sunshower (TV Size),85,1648968
BiSH,PAiNT it BLACK (TV Size),210,1897689
Sayuri,Heikousen,191,583370
Ohara Yuiko,Tabibito no Uta (TV Size),137,1826809
LiSA,Hi FiVE!,178,852867
Rin',Asuka,136,52640
Taylor Swift,Love Story,119,993619
Miki Sayaka vs. Miki Sayaka (fw. Miki Sayaka),squartatrice,180,40368
Avenged Sevenfold,A Little Piece of Heaven,145,16161
Younha,Houkiboshi,155.15,779541
XXXTENTACION,Fuck Love (feat. Trippie Redd),131,1066696
Itagaki Soutarou,Mugenranbushou(Game size),170,514795
China Anne McClain,Exceptional (TV Size),130,814676
Yooh,snow storm -euphoria-,180,158075
Suga Shikao,Hajimari no Hi (TV Size),127,17510
"Emilia (CV: Takahashi Rie), Rem (CV: Minase Inori), Ram (CV: Murakawa Rie)",Re:lation,135,1233361
Taiko no Tatsujin,Saitama2000,200,210
Meg & Dia,Hug Me,141,27106
Marmalade butcher,Amanita,194,1604167
PUFFY AMIYUMI,HiHi (TV Size),190,1496906
Linkin Park,Heavy (feat. Kiiara),150,645325
Ina,I wanted you,59.5,48090
Zektbach,Kagachi,170,26500
Est,Sakura,140,6774
Tsuneki Hikari (CV: Sakura Ayane),Shunkan Happening (TV Size),187,741171
Gunnar Nelson,Team Chaotix,144,1845
RevenG vs DE-SIRE,TSUGARU,165,20199
PUP,Free At Last,179,1630118
Femina,Plumas,125,1173374
miComet,Animal,188,1690091
Warak,REANIMATE,174,1408257
Tristam & Braken,Frame of Mind,175,514788
Nomizu Iori,Black + White (TV Size),192,773513
Suemitsu & The Suemith,Allegro Cantabile,167.97,1414
"Y. Kaneoka, A. Nakatuka, K. Yamamoto",Training ~ Credits,180.25,8206
Suzumu,isolation(Instrumental Opening),170,357391
Shoko Nakagawa,Sorairo Days (Short Version),174.1,600
Scotty D,Drop The Bomb,150.15,5321
nao,Towa naru Kizuna to Omoi no Kiseki,290,2146604
Mia REGINA,My Sweet Maiden,204,1109062
Kanpyohgo,Reichi no Taiyou Shinkou -Nuclear Fusion- Hardcore.edt,172,1811874
Dzeko & Torres,2014 in 10 Minutes,128,338329
EDOGA-SULLIVAN,WONDERFUL WONDER (TV Size),160,1044450
Rita,Kachou Fuugetsu,180,38894
Fox Stevenson,Take You Down,174,1098490
riya (eufonius) / Ceui,Chroma (Game Ver.),144,705434
Kajiura Yuki,Sis puella magica!,148,342884
ayumi hamasaki,Song 4 u (Original mix),128,215103
KyoKa,Ouran Romancia,148,1404039
Ebisuzawa Kurumi (CV: Ozawa Ari),RUN & RUN,148,843350
BAND-MAID,CROSS,190,1221201
VINXIS,Greetings,200,979100
9-tie,Glorious Days (TV Size),115.5,1597710
Rin,Lunatic set 16 ~ The Space Shrine Maiden Returns Home,150,996256
EGOIST,The Everlasting Guilty Crown (TV Size),172,47396
Chorogons,Ishukan Communication,107.95,595314
Hino Isuka,Moonheart,180,1774507
Syaro (CV: Uchida Maaya),Caffeine Fighter,156,1041046
Sarah Connor,Cold As Ice (PH Electro Remix) (Nightcore Mix),160,1681992
"Wake Up, May'n!",One In A Billion,187,637877
Matrix & Futurebound,Fire (feat. Max Marshall),174,975615
Team AA,Pulse (TV Size),184,1344595
"Nakagawa Kanon (CV: Touyama Nao), Suirenji Ruka (CV: Yamazaki Haruka)",Ringo Ribbon,176,932213
Sharlo & yealina,Kakushigoto,200,208095
Narae,SPiCa,162,664636
project-ALCA-,Neoage Dreamers feat. yanaginagi,163,325259
Ardolf,Warrior Of Multiverse,180,1981980
Suzuyu,Euphorium,186,537814
Lovejoy,The Fall,132,1621981
Plasmagica,Have a nice MUSIC!!(TVedit),172,375264
Owl City,Rugs From Me To You,150,98666
Oratorio The World God Only Knows,God only knows,166,35036
Kuroneko Chelsea,Ao no Lullaby -Anime edit.-,178,732101
Vau Boy,Video Game Girl (ft. viewtifulday),145,331778
Yousei Teikoku,Senketsu no Chikai (TV Size),180,15068
SEKAI NO OWARI,The Peak (TV Size),132,2054995
ICHIKO,I'LL BE THERE FOR YOU (TV Size),170,42890
Yoshie Hayasaka,Zettai! Part 2,162.92,5609
glass beach,cold weather,155,1280001
Kajiura Yuki,Sis puella magica!,148,322061
Porter Robinson & Madeon,Shelter,100,527661
riya(eufonius),Traveler's tale,140,465669
Raujika,Cry More,175.14,974743
Innocent Key,Wanna Be My Dream,165,19840
Itou Shizuka,"Honjitsu, Mankai Watashi iro!",173,30735
