art,t,bpm,s
GazettE,Shiver (TV Size),240,17953
Hata Motohiro,Toumei Datta Sekai,168,520772
suzie,Chug Jug With You (Short Ver.),118,1408937
"JO*STARS ~TOMMY, Coda, JIN~",JoJo Sono Chi no Kioku~end of THE WORLD~,220,269969
Baby Alice,Pina Colada Boy (Nightcore Mix),141.25,29864
Naoki & Tatsh,Red Zone,165,5731
MisoilePunch,MixxioN,275,1831275
Himeringo,Idola no Circus,181,147177
Tristam,Follow Me,154,48901
Seishun Buta Yarou Cast,Fukashigi no Karte,96,868749
Nanahoshi Kangengakudan,Meikaruza,300,302756
JerryTerry,U.N. Owen Was Yee?,155,263191
R3 Music Box,FREEDOM DiVE,82.5,764245
Hino Isuka,Dreamin' attraction!!,205,1404850
U1 High-Speed,EGOISM 440,220,717720
55x55,MRAZ' (feat. Larin),120,635171
Vickeblanka,Black Rover (TV Size),204,781509
Shiggy Jr.,oyasumi,200,1161953
ONE OK ROCK,NO SCARED,185,69779
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Sped Up & Cut Ver.),164.08,1254985
MYTH & ROID,Paradisus-Paradoxum,201,667918
Inori Minase,Aimaimoko,133,669017
Hanatan,Attakain Dakara,170,464644
BOSSFIGHT,Dr. Wily's Castle: Stage 1,175,356147
Yu-Peng Chen @HOYO-MiX,A Sweet Smile,170,1759337
S3RL,Bass Slut (Original Mix),175,375648
Selphius,Padoru Padoru,120,1626959
supercell,My Dearest (TV Size),167.8,38579
dj TAKA,quaver,186,873811
Shota Kageyama,N no Dragon,192,1821381
Hatsune Miku,Rubik's Cube,174,33651
Hige Driver join. SELEN,Dadadadadadadadadada,156,350076
Kankaku Piero,Haruka Mirai (TV Size),182,1252821
96neko,Uso no Hibana (TV Size),188,1442335
EVO+,[A]ddiction,164,378803
CustomiZ,COOLEST (TV Size),188,2054394
Chili Tomato,Angel Gakuen no Ichinichi,94,172967
IOSYS,Marisa wa Taihen na Mono wo Nusunde Ikimashita,170,243
Aimer,LAST STARDUST,81.33,539860
ZUN,U.N. Owen Was Her?,155,13887
Nightcore,Jump Jump,166.75,12191
Agnete Kjolsrud,Get Jinxed,180,361740
Alipio Martins,Piranha (Maffalda Reloaded Trap Mix),171,287873
Shigure Ui (9-sai),Shukusei!! Loli-Kami Requiem*,165,2066239
Victorious Cast,Take a Hint feat. Victoria Justice & Elizabeth Gillies (Speed Up Ver.),164.08,984684
Azuna Riko,keep weaving your spider way (TV Size),208,1672890
Nanahira,Tobidase! Sweet Sweet Magic*,180,42837
Kirsten Price,We Will Be Heroes,145,579551
O-Life Japan,Yakujinsama no Couple Dance,192,16990
Hanasaka Yui (CV: M.A.O) feat. Koalazy,Harumachi Clover (TV Size),142,780651
Hanatan,If,208,630801
Kondo Koji,MAP4 (Native Star),126.91,1395792
EGOIST,Namae no Nai Kaibutsu (TV Size),180,1508139
Rita,Little Busters! -TV animation ver.-,151,56259
Kucchy vs Akky,Yakumo ~ JOINT STRUGGLE,187,12909
Montablan64,Harumachi Clover,142,1792964
Ohashi Ayaka,Wagamama MIRROR HEART (TV Size),181,896670
STYLE FIVE,SPLASH FREE (TV Size),128,103417
YOASOBI,Yuusha (TV Size),208,2130671
Aoi Eir,MEMORIA (TV Size),128,37749
Coda,BLOODY STREAM (TV Size),132,115873
Hanasaka Yui (CV: M.A.O),Aozora Morning Glory (TV Size),138,1039298
Hiroshi Kitadani,We Are! (TV Size),168,15440
Yu-Peng Chen @HOYO-MiX,"Let's Go, Crimson Knight!",135,1435970
Rish feat. Choko,Punai Punai Sensou,271,1109546
FREDERIC,Kanashii Ureshii,142,635275
Reol,MONSTER,164,366440
Renard,PIZZZZZZZZ,200,638112
ClariS,Irony (TV Size),134,21424
BACK-ON,STRIKE BACK,180,193996
Chroma,I,225,944317
Tristam,Till it's Over,110,139415
THE ORAL CIGARETTES,Miss Tail (Cut Ver.),180,1553526
R3 Music Box,"Yomi yori Kikoyu, Koukoku no Tou to Honoo no Shoujo.",80,968546
fripSide,sister's noise (TV Size),144,87871
HTT,"NO, Thank You! (TV Size)",181,18156
Hoshimachi Suisei,comet,162,1225153
MY FIRST STORY,REVIVER,200,1776945
RADWIMPS,Zen Zen Zense (movie ver.),190,513590
MitiS & MaHi,Blu (Speed Up Ver.),167.56,261911
Neko Hacker,People People feat. Nanahira,230,1828947
sweet ARMS,Trust in you (TV Size),190,158932
Kuroki Meisa,Wired Life (TV Size),128,35299
Camellia,Towards The Horizon,154.4,629384
Will Stetson,Harumachi Clover (Swing Arrangement),170,859783
xi,Aragami,196,609324
Vicetone & Tony Igy,Astronomia 2014,126,360107
Sagara Kokoro,Hoshizora no Ima,185,903137
Rish feat. Choko,Punai Punai Taisou,271,1560368
Hatsune Miku,Uraomote Lovers,159,11375
Hanasaka Yui(CV: M.A.O),Harumachi Clover,142,558217
Thaehan,Insert Coin,178,1357790
Takagi-san (CV: Takahashi Rie),Kimagure Romantic (TV Size),170,784563
Aoshima Moka (CV: Mimori Suzuko),kibo refrain (TV Size),172,1572192
Yasuda Rei,Passcode 4854 -TV edit-,140,740068
m108,XIII Charlotte,186,1400205
Shouta Kageyama,Relic Song,154,107009
LiSA,Gurenge (TV Size),135,978168
Hanasaka Yui (CV: M.A.O),Aozora Morning Glory (TV Size),138,1376932
Suzuki Konomi,Realize (TV Size),206,1196770
ChouCho,Yasashisa no Riyuu,177,685391
Murasaki Hotaru,Re:TrymenT,190,794111
Coalamode.,Nanairo Symphony (TV Size),155,831389
Nomizu Iori,*** Passionate (TV Size),141,45811
Bowling For Soup,Today is Gonna be a Great Day (TV Size),180,1549752
Horie Yui,Asymmetry (TV Size),173,896631
Eisyo-kobu,Oriental Blossom,180,747823
in love with a ghost,chilling at nemu's place,109,1757755
Lite Show Magic (t+pazolite vs C-Show),Crack Traxxxx,220,139525
Nekomata Master,Welcome to tricoro system,155,1136293
Kola Kid,press start,200,626831
Tenacious D,To Be The Best,180,601419
Seth Everman,"how to create the weeknd's ""blinding lights""",171,1207609
Gom (HoneyWorks),Zen Zen Zense,190.1,503141
Lapfox Trax feat. guilhox,Lapfoxed Forever,220,59521
3R2,Get On With It,153,1078679
Yura Hatsuki,TRICK or TREAT,106,520088
inabakumori,Lagtrain,147,1313664
Brad Breeck,Lucky Me (feat. Courtney Fortune),174,1708256
MT Nightcore,Welcome To The Club,181.25,15489
Bring Me The Horizon,Can You Feel My Heart (Cut Ver.),128,1857120
onumi,FAKE,220,934785
TRF,Survival dAnce ~no no cry more~,156,118
OxT,Clattanoia (TV Size),190,1820929
MAKOOTO,Tanukichi no Bouken,132,1357570
FAIRY FORE,Vivid,168,141
Nakajima Megumi,Ninjin Loves you yeah!,160,29688
DJ Fresh (feat. Rita Ora),Hot Right Now (Radio Edit),175,231114
SUPER BEAVER,Rashisa,168,190486
ALiCE'S EMOTiON,Dark Flight Dreamer,189,1270628
u's,Korekara no Someday,240,335711
FELT,In my room,165,206284
Feint,Snake Eyes (feat. CoMa),174,1034056
[Kyoro],Mochio-,268,1939725
CustomiZ,COOLEST (TV Size),188,1759632
Suzuyu,Mezameta Asa ni wa Kimi ga Tonari ni (TV Size),140,143812
TheFatRat,MAYDAY (feat. Laura Brehm),150,987012
