id,name,ppOld,ppNew,ppDiff,minuteUpdated
6956922,frz,17673.2,16779.54,-1051,29790515
7491106,7_7,16762.7,16775.51,3193,29790516
5136582,taiko_ryuki,17481.7,16748.44,-438,29790515
4315477,superSSS,17069.9,16718.85,1248,29790516
4609767,ndrrr,17367.7,16687.09,20,29790515
9057823,Escocyan,17539.7,16653.21,-1216,29790515
3918650,Raphalge,16821.7,16651.58,1138,29790516
8219167,xGeno,17218.3,16608.44,-470,29790515
2998248,6_9,17861.7,16595.16,-2657,29790515
24664049,TAG_M1Ra,17254.2,16587.45,197,29790515
13857986,MrCB,17421.7,16564.01,-1117,29790515
11293254,Ikakun4,17392.6,16561.29,-383,29790515
6490509,R J,16732.9,16560.91,1636,29790516
2875968,asuasu_yura,17140.5,16554.01,-199,29790515
12807783,InherentCross1,17183.5,16508.80,245,29790515
7994829,Sasara,17308.8,16489.74,-156,29790515
5427801,_Doodle_,17006.9,16475.43,334,29790516
9821194,Miniature Lamp,16685,16450.92,2329,29790516
7807444,chmekoe,16682.6,16432.43,-1510,29790516
12568571,Alejar,16985.2,16404.31,-1688,29790516
16662508,takumit25,17391.4,16401.14,-1579,29790515
37124299,yncha,17171.9,16380.53,-960,29790515
8303357,wandinfo,16586.1,16307.00,1921,29790516
32179762,My Angel Shinku,17251.7,16300.43,-768,29790515
12780046,Shinda,17256.5,16291.46,-1119,29790515
11117835,taikoshallah,16976.1,16275.23,-1104,29790516
14389442,MreMre,17073.4,16273.61,-620,29790516
13766261,Lougui,16874.9,16270.99,-668,29790516
26820002,seal--,17078.8,16262.38,-1069,29790516
24042710,RandomNameIdk,17078.9,16234.56,-1477,29790515
4493348,Yuemiao,17051.9,16216.53,-1529,29790516
7378343,ho322,16784.8,16215.69,-1985,29790516
8264451,vizokaa,16380.4,16214.65,1915,29790516
5115345,mafuyun,17291.1,16197.19,-1669,29790515
7609510,Blerargh,16155.4,16181.83,2625,29790516
24718103,mobmouser,17322.6,16175.68,-2334,29790515
8121109,Raytoly,15759.8,16153.25,-268,29790516
36812900,_Twinturb0,16700.8,16141.39,-655,29790516
13279859,Kyoko Sakura,16896.1,16131.36,-463,29790516
33698926,wrong12,17026.9,16115.04,-1315,29790516
8767392,ILOVEMARISA,16691.5,16110.07,227,29790516
15142530,Ticy,17082.3,16104.22,-1985,29790515
20089489,Maxmisil,17164.6,16075.80,-1616,29790515
8027517,miyagishima,16256.2,16064.78,1717,29790516
12615278,Maeda,16737.7,16012.30,-604,29790516
7168322,kawamura321,17226.1,15982.05,-1623,29790515
6451537,le gagoguigo3,16044.6,15962.07,1976,29790516
8847884,katekunn,16672.9,15961.36,-852,29790516
22338549,PepeTheShrek,16754.3,15960.90,-571,29790516
6333166,AlvaroYL,16470,15958.76,552,29790516
19154954,Dice,17084.5,15953.93,-2674,29790515
30496573,Gsuncraft,16831.2,15932.42,-2015,29790516
10726804,Polemo03,16280.7,15909.26,978,29790516
18265351,kaiho_,17109.3,15891.99,-1808,29790515
5321719,uone,15754.7,15872.76,2687,29790516
32553132,ntml,16330.1,15858.85,338,29790516
1893718,mangomizer,15655.6,15848.64,3314,29790516
8089664,Katdon_donKat,16546.2,15834.95,667,29790516
9912966,Zeth,16495.6,15807.55,-768,29790516
7479684,Foxeru,16762.8,15805.17,-643,29790516
2349769,kknegative,16787.4,15795.81,-1636,29790516
6439880,]]]]]]]]]]]]]]],16770.9,15741.29,-1293,29790516
5071871,Jesus,16371.2,15732.57,83,29790516
16011592,banan,16440,15732.02,475,29790516
2496768,Nishizumi,16522.7,15724.75,631,29790516
6194830,Shiny Froakie,16495.2,15714.69,-1387,29790516
8145223,Kyoumo,16582.7,15710.64,-379,29790516
7692731,Remi_hs,15709,15672.55,1774,29790516
14324722,Naverlyn,16451,15642.98,-1304,29790516
14415208,Dioramos,16103,15589.70,207,29790516
5663853,mariopokemon,15811.7,15581.66,1001,29790516
3023007,Hori_159,15871,15580.63,520,29790516
17061174,mBiscuit,15931.8,15580.06,1039,29790516
6372422,Prymal,16619.5,15569.84,111,29790516
16348066,noyz,16319,15539.44,-670,29790516
16360256,M_g1,16581.5,15539.37,-1019,29790516
7280717,ImChro,16713.9,15532.10,-1788,29790516
12725502,Match1230,16545.2,15529.58,-1655,29790516
4669728,BabySnakes,15845.7,15528.70,1619,29790516
2277798,monkeydluffy3u4,16486.9,15517.05,-1182,29790516
8650631,artemean,16346.2,15514.94,-1104,29790516
9864847,overdahedge2015,16134.2,15510.25,-367,29790516
10384069,dasadanan,16728.5,15502.58,-2614,29790516
32335531,nisio,16096.9,15489.85,-933,29790516
19021431,9CB,16097.2,15487.33,-515,29790516
35562611,soradayoo,16545.9,15483.58,-1972,29790516
13410346,Tropica_45,16732.3,15481.09,-2604,29790516
14623658,supesan,15858.4,15471.07,937,29790516
9258564,ChurroChef,15769.9,15464.61,520,29790516
12177903,Xok,15829.2,15456.83,1236,29790516
11499467,r1chyy,16077.7,15449.33,-603,29790516
6932501,vun,15530.3,15426.43,2208,29790516
15231510,K0rd31HP,16358.2,15416.70,-558,29790516
31430087,1823,16061.2,15392.49,-1360,29790516
37004936,minsimeji,16230.5,15297.15,-2104,29790516
12771318,Smilee,16284.3,15286.90,-1649,29790516
6359835,zkane2,15466.2,15270.49,1922,29790516
8190266,In Dark Sky,15943,15238.22,-1146,29790516
2774767,tasuke912,15312.4,15217.79,2848,29790517
16491572,Alph,16034.6,15216.71,-475,29790516
19421910,Arcyol,16014.6,15210.42,-1347,29790516
19883639,shinchikuhoe,16079.5,15187.95,-1639,29790516
28284695,KONAMIKAN,15879.2,15186.11,-1544,29790516
533502,Konpaku Sariel,15676.1,15160.48,1030,29790516
5082685,POCARI SWEAT,15852.3,15155.89,-101,29790516
8159528,JustALeaf,15456.7,15145.23,-34,29790516
9383908,SakurabaEmma,15864.6,15134.00,-1066,29790516
22741631,unsQuare,15961.1,15130.93,-1615,29790516
6096445,sing216,15083.6,15120.59,2253,29790517
15841682,goldenyoshi22,16047.8,15118.66,-1321,29790516
