m,b,x,pp99,adj,v,s,l,d,p,h,appr_h,ar,accuracy,cs,drain
0,2031389,1360.04,223.31,1956,[4K] Lyz's Another,808872,139,4.82771,205899,51058,445844,5,8,4,8.5
0,439149,1359.65,113.55,4050,[4K] justhow's MX,175684,212,3.68367,255359,105965,390751,5,8,4,7
0,784054,1358.03,218.37,2035,[4K] GRAVITY,356253,111,4.71222,345871,94521,402192,5,8,4,8
0,522938,1351.93,163.14,2574,[4K] Ene's SC,170446,192,4.25585,234218,100326,396448,5,8,4,8
0,652299,1347.73,115.56,3869,[4K] Poi,288794,250,3.72045,249623,99940,396737,5,8.5,4,8.5
0,1214523,1337.34,90.16,4707,[4K] Hard,573280,181,3.23428,188046,74035,422642,5,8,4,8
0,633373,1331.04,52.09,6108,Insane,249624,185,5.08445,464950,99893,396784,9.2,8,4,7
0,840232,1325.88,170.77,2687,SY's 4K ULTIMATE Lv.15,382403,110,4.44782,179078,86835,410122,5,8,4,8
0,4169817,1319.02,282.07,1219,[4K] krip kripochek,2004998,113,5.26173,120671,26979,469733,5,8.5,4,8.5
0,2755520,1318.86,306.69,913,4K Resurrection,1329899,299,5.38277,128861,47233,449451,5,8,4,8.5
0,577429,1315.04,188.04,2516,[4K] World's End,251365,329,4.52852,177421,99126,397552,5,8,4,8.5
256,5111622,1307.96,611.14,123,[4K] Harbinger of Death,2369185,232,8.74592,37874,10561,486116,5,7.5,4,8
0,795971,1297.31,130.6,3619,[4K] Emperor of Time,362395,331,3.82711,252985,92047,404639,5,8,4,8
0,4374753,1292.32,310.65,917,[4K] d-_-b,2087660,110,5.46702,96630,22273,474406,5,8.4,4,8.4
0,767309,1278.6,133.98,3619,[4K] Hyper Lv.22,347779,148,3.98324,385139,96280,400406,5,8,4,8
0,2355634,1240.67,251.77,1412,[4K] Nuclear Fusion,1127488,137,4.93677,171823,49769,446915,5,9,4,9
0,5510352,1240.65,612.47,123,[4K] NYA://VIVID_SPARKLING,2503449,443,7.2727,18342,4374,492306,5,7,4,8
0,1107353,1235.61,129.15,3000,[4K] NIGHTMARE,480769,104,3.93946,303432,85863,410814,5,8,4,8
0,3621892,1197.14,265.75,1305,[4K] Disintegrate,1769310,125,5.10313,59454,22499,474313,5,9,4,9
0,1023071,1169.63,380.95,516,[4K] Extra,478161,138,6.02493,251777,81279,415413,5,8.5,4,8.7
0,3076262,1145.19,99.69,4729,[4K] ADVANCED,1430396,116,3.56664,92397,13755,482924,5,7.5,4,8
0,1092805,1142.8,307.76,913,[4K] GRAVITY,514461,118,5.51328,271683,77609,419124,5,8,4,8.5
0,809751,1129.72,59.82,6108,[4K] Draw's Hard,363594,88,2.90402,398294,90316,406361,5,7.5,4,7
0,1033166,1119.53,208.74,2399,[4K] Junkies !!!,484327,268,4.5784,141892,86672,410008,5,8.5,4,8.5
0,2504976,1114.86,230.13,1909,[4K] The End,1202872,218,4.85357,77746,47839,449105,5,8.2,4,8.4
