id,name,ppOld,ppNew,ppDiff,minuteUpdated
10913538,ryunic,15606.4,15154.07,-515,29789842
10954912,Seviade,15669.4,15143.50,349,29789842
5477343,kurtis-,15504.9,15139.37,1301,29789842
19401270,ocraska,15057.4,15138.37,1094,29789842
11351654,Epes,15778.5,15134.77,-278,29789841
16756305,judah1224,15621,15133.53,194,29789842
9099771,freed0my,15828.4,15128.52,-773,29789841
13872859,SheDiK YT,15798.7,15126.40,-583,29789841
4852013,Monko2k,15096.5,15119.26,2074,29789842
7587734,Failing,15699,15116.60,-715,29789842
4928776,AxewB,15346.5,15115.60,1072,29789842
6404027,Bartek22830,15259.5,15112.86,521,29789842
19618102,-hanyi,15812.8,15110.28,-559,29789841
6591496,SadnessWillSear,15616.4,15105.64,264,29789842
18897621,Xemtin,15544.1,15097.44,214,29789842
31507014,kemsi,15609.2,15089.18,-561,29789842
11417993,Jarran,16196,15087.24,-2182,29789841
11141578,NichoIas,15547.6,15084.81,116,29789842
11226645,JackPaX,15311.5,15084.18,503,29789842
19776980,Willy William,16102.1,15076.44,-1261,29789841
7410343,Xaver,16083.7,15076.37,-1623,29789841
10196805,angelkanna,15511.9,15067.28,635,29789842
11345690,velcro shoes,15058.8,15064.73,3160,29789842
11424586,nixie,15822.4,15059.09,-491,29789841
16359045,Vayge,15537.9,15037.92,-750,29789842
16870029,vljoy209,16080.5,15035.28,-1910,29789841
18922516,Gaspi,15596.3,15030.58,9,29789842
13510304,hamster tables,15555,15025.61,-190,29789842
6668666,elsi,15674.9,15019.11,610,29789842
11875189,-L U C K Y-,15903.3,15009.65,-1053,29789841
7371294,WhatSkill,15168.8,14997.99,994,29789842
13783044,Gulbang,15192.9,14989.52,331,29789842
10748631,Tommy315,14824,14979.65,2462,29789843
11490085,Rail,15232.6,14970.07,200,29789842
9509358,termi,15030.6,14966.97,1489,29789842
17462509,MiMiTooU,15661.4,14959.42,-790,29789842
14633196,r_kt,15299.8,14954.98,554,29789842
2155578,Azer,14408.1,14945.18,4903,29789844
5575135,jan glin,14821.3,14936.05,1524,29789843
15135237,xvy,15446.7,14918.89,-310,29789842
7969090,SkunkPunk,15211.8,14918.41,746,29789842
23925029,Kyros_,15815.1,14908.68,-1143,29789841
18373966,Okinari,15025,14898.97,602,29789842
11398156,Luszer,15634.3,14897.61,-975,29789842
9797230,Gameroft,15286.4,14895.50,831,29789842
15743842,ILX,15492.1,14894.34,-221,29789842
6303313,Mathyu,14427.1,14884.68,3213,29789844
13596160,gheanfoil,15157.2,14879.61,231,29789842
13062430,marcel7,15247.8,14867.55,-166,29789842
12111972,pluk,15551.1,14866.43,-509,29789842
6922333,yadon,15824.8,14866.24,-1379,29789841
12739835,villix,15563.6,14865.93,-979,29789842
20963631,Dumb-Andy,14727.7,14856.66,1943,29789843
18323396,golem de caca,15286.9,14854.50,401,29789842
10270787,Mekeyo,15505.5,14853.06,-888,29789842
11800154,Sherbet,15240.2,14841.96,278,29789842
14361133,Spacus,15707.4,14836.81,-1226,29789842
6942259,Rebo,15867.8,14834.08,-1232,29789841
18414466,CosmoXR,15420.9,14832.57,-539,29789842
9203793,xep,15380.2,14832.27,162,29789842
5403374,dasdwqdf,14433.3,14831.85,3421,29789844
8523723,delta,15047.5,14831.83,1300,29789842
7657831,justman,15212,14822.15,565,29789842
9256803,waifaii,14897.9,14821.48,1678,29789843
10051720,Saryi,14569.7,14811.64,3395,29789843
19887342,Hober38,15361.8,14807.90,-307,29789842
284905,Ekoro,14361.1,14804.91,3804,29789844
12420904,gakuw,15522.8,14802.26,-904,29789842
8267599,hinder,14833.3,14792.69,1711,29789843
11120124,Xqeer,15426.8,14790.92,565,29789842
10958852,lifetime,14752.2,14788.48,2935,29789843
24486749,AstroVnz,15617,14785.37,-1378,29789842
10223298,NOUMEN BREAK,15405.5,14780.86,-322,29789842
10145502,WooperFan1,15578.1,14772.58,-1307,29789842
8682683,Stunar,15055.7,14769.60,636,29789842
19827029,fallenbtw,15347.4,14769.25,-774,29789842
