id,name,ppOld,ppNew,ppDiff,minuteUpdated
29432462,Algebrasucks,7388.46,6927.23,397,28824068
19847866,MatrixAC,7485.16,6927.22,174,28824067
15456259,Co ni,7416.04,6927.19,365,28824068
13221078,Sandroca,7535.63,6927.18,-259,28824066
15170558,dimo0725,7571.75,6927.05,-429,28824065
23536032,OSVALDOKS9000,7474.61,6926.91,-224,28824067
20704130,huateji,7440.34,6926.65,46,28824067
34132801,JustSomeGuy97,7514.99,6926.45,117,28824066
31124420,Kimseonga,7534.43,6925.98,-157,28824066
19030920,Hookseye,7525.28,6925.56,-256,28824066
33773008,AmbrosiaMelter,7312.11,6925.28,723,28824069
26586976,galaxygamertofu,7479.76,6925.25,147,28824067
22638313,anormalosugamer,7277.33,6925.21,522,28824070
11375105,lolol233,7552.34,6924.90,-282,28824066
34558941,WorstTaikoMan,7574.88,6924.72,-154,28824065
7037358,BaeSeot,7574.11,6924.56,-240,28824065
29342253,Bypthua,7464.42,6924.44,221,28824067
10213428,xChose,7472.37,6924.40,56,28824067
15073541,SShenshi-Moriya,7477.55,6924.27,111,28824067
18818481,config_,7488.81,6923.32,163,28824067
29916977,Dambzo,7587.87,6922.90,-262,28824065
14751043,taggerung,7414.74,6922.45,518,28824068
29554807,Osu_Boiiii,7389.54,6921.94,27,28824068
7385892,BigBox,7535.13,6921.67,-138,28824066
17631505,Steeven,7519.52,6921.62,-152,28824066
16452980,JameSama_,7520.48,6921.48,-105,28824066
12105993,LovelySenko,7476.28,6921.12,128,28824067
16313113,FAPH,7421.59,6920.90,95,28824068
26103913,Player10086,7500.72,6920.86,197,28824066
28394240,DINO0922,7600.71,6920.70,-486,28824065
31098222,KarlTox_King,7513.25,6920.54,-148,28824066
31429634,alfeReRev,7382.09,6920.11,401,28824068
10503443,[-Donovan-],7488.41,6919.94,132,28824067
9118327,BlakeBelladonna,7521.35,6919.69,-21,28824066
29720958,zuiederen,7452.61,6919.68,168,28824067
31816669,zundafanboy,7291.07,6919.63,-265,28824070
15881014,NeedlessR123,7513.47,6918.34,-13,28824066
32624873,Ne_ko,7431.16,6917.48,57,28824068
5124401,ponysaidxd,7427.86,6916.52,247,28824068
13031731,brug,7479.47,6916.42,90,28824067
23054469,Giannovich,7229.85,6916.08,84,28824070
20020441,cyger,7449.63,6915.58,151,28824067
18125599,D4x3r,7542.67,6915.20,-154,28824066
13576147,pqq,7490.22,6915.08,-3,28824067
1206206,Demitoo,7480.89,6914.87,221,28824067
34218041,Vkqzhs_0,7385.51,6914.79,-265,28824068
21288068,Bate,7522.03,6914.78,-134,28824066
16228128,TheSGGovernment,7485.62,6914.61,-59,28824067
26467468,DumBoi69,7529.13,6913.92,-90,28824066
30472677,Caffeinesan,7449.77,6913.51,132,28824067
20886966,Seven_Nye,7440.72,6913.45,340,28824067
12537417,Hydrole,7517.81,6913.09,-159,28824066
19375465,FazDag,7345.75,6913.01,486,28824069
23067000,RaptorX69,7367.92,6912.77,-435,28824068
4279706,2005512s,7500.6,6912.67,-36,28824066
16812337,Tkazer,7418.42,6912.27,-144,28824068
10194785,coolhitter,7501.77,6912.14,-38,28824066
1987968,M E R U,7291.29,6911.45,284,28824069
30953432,grp666,7261.11,6910.83,803,28824070
6376358,Lappland_,7544.47,6910.58,-126,28824066
25721337,COSMOKRAME,7396.14,6910.16,260,28824068
14684647,CoreyDeWolf,7506.67,6909.58,-46,28824066
15923740,[GB]dotdot,7515.47,6909.57,-83,28824066
12586864,cakeboss05,7464.15,6909.24,204,28824067
27665478,yin_,7425.14,6909.17,0,28824068
35246001,Johi_M,7406.06,6908.79,-377,28824068
1375479,Paturages,7481.49,6908.77,-9,28824067
22733311,FadedX312,7389.32,6908.45,89,28824068
28130778,alwinavila3,7550.22,6908.33,-257,28824066
15700083,paont,7507.86,6908.31,-26,28824066
10951607,Erie_,7431.5,6907.97,259,28824068
